source_ip,destination_ip,source_port,destination_port,protocol,timestamp,packet_size,syn_flags,ack_flags,psh_flags,fin_flags,attack_label
12.42.239.90,185.175.95.69,19003,14655,UDP,2024-11-16 00:00:43,554,0,1,0,0,FTP-Patator
105.71.224.120,41.99.253.194,20490,41753,TCP,2024-11-16 00:00:44,1134,0,0,0,1,BENIGN
10.206.200.65,87.244.4.186,45994,39638,TCP,2024-11-16 00:00:45,488,0,1,1,0,DDoS
117.28.32.95,195.76.65.189,43399,58350,TCP,2024-11-16 00:00:46,825,1,1,0,1,Infiltration
103.69.13.244,48.1.155.13,26333,1052,Reserved,2024-11-16 00:00:47,247,1,1,0,0,Infiltration
128.158.124.182,152.80.232.48,17387,38875,UDP,2024-11-16 00:00:48,997,0,0,0,0,PortScan
202.64.93.19,175.147.213.82,29188,39507,Reserved,2024-11-16 00:00:49,1424,1,1,0,0,Heartbleed
150.11.172.219,216.181.15.189,36165,20556,UDP,2024-11-16 00:00:50,1028,0,0,1,1,DoS slowloris
139.153.170.201,120.55.19.125,42210,57710,UDP,2024-11-16 00:00:51,1442,1,1,1,1,FTP-Patator
217.177.93.59,35.15.9.222,23684,6529,Reserved,2024-11-16 00:00:52,820,0,1,1,1,PortScan
95.190.233.219,29.238.40.145,7644,15128,TCP,2024-11-16 00:00:53,1162,0,0,0,1,FTP-Patator
76.151.173.174,59.116.126.210,54193,28414,Reserved,2024-11-16 00:00:54,572,1,0,1,0,Infiltration
84.225.123.12,24.215.27.146,15267,43423,TCP,2024-11-16 00:00:55,689,1,0,1,1,SSH-Patator
216.137.74.179,88.125.141.15,54063,54252,TCP,2024-11-16 00:00:56,1002,1,0,0,1,SSH-Patator
149.41.228.201,29.149.140.161,25952,29807,Reserved,2024-11-16 00:00:57,1458,1,0,0,1,DDoS
54.83.212.47,110.229.181.247,55687,9409,UDP,2024-11-16 00:00:58,409,1,0,1,0,BENIGN
153.172.216.197,163.229.102.83,16543,57209,UDP,2024-11-16 00:00:59,941,1,0,1,0,PortScan
46.189.50.147,24.166.218.216,24000,46838,UDP,2024-11-16 00:01:00,736,0,0,0,0,DoS GoldenEye
94.144.11.194,66.240.144.114,33450,32828,Reserved,2024-11-16 00:01:01,659,0,1,0,1,BENIGN
115.64.203.45,191.138.36.141,29055,58655,Reserved,2024-11-16 00:01:02,1296,0,1,1,1,DoS Slowhttptest
181.151.62.215,64.2.90.153,50033,53247,UDP,2024-11-16 00:01:03,1031,1,1,0,1,DoS Slowhttptest
138.172.241.244,36.26.32.218,58202,41090,UDP,2024-11-16 00:01:04,138,1,1,1,1,PortScan
160.136.38.115,156.97.65.0,36588,19580,UDP,2024-11-16 00:01:05,572,1,0,1,0,DoS Slowhttptest
79.193.143.148,28.183.111.130,33755,58340,TCP,2024-11-16 00:01:06,250,0,0,1,1,DDoS
156.71.212.249,76.226.22.207,46713,46772,TCP,2024-11-16 00:01:07,176,0,0,1,1,Heartbleed
144.185.217.128,68.84.39.137,45847,5360,Reserved,2024-11-16 00:01:08,664,1,1,0,0,SSH-Patator
67.31.131.20,164.110.167.74,1716,40845,Reserved,2024-11-16 00:01:09,1154,1,0,0,0,DDoS
109.178.216.83,31.42.11.152,55809,8415,Reserved,2024-11-16 00:01:10,1398,1,0,0,0,DoS Hulk
140.82.253.107,2.255.173.96,60982,24212,TCP,2024-11-16 00:01:11,1063,1,1,0,1,Heartbleed
187.139.196.125,91.227.86.137,57355,14250,TCP,2024-11-16 00:01:12,1179,0,1,1,0,DoS GoldenEye
35.121.187.1,12.255.105.199,32994,47429,Reserved,2024-11-16 00:01:13,959,0,1,0,0,DoS Hulk
8.212.210.237,13.93.249.54,21277,1135,UDP,2024-11-16 00:01:14,760,0,1,0,1,PortScan
96.86.243.78,183.4.170.193,60032,25135,TCP,2024-11-16 00:01:15,510,0,0,1,1,DoS Slowhttptest
166.32.238.56,91.131.80.183,24913,38867,UDP,2024-11-16 00:01:16,789,0,1,1,0,PortScan
47.126.204.113,55.255.177.97,9124,53448,TCP,2024-11-16 00:01:17,763,0,0,0,1,FTP-Patator
54.219.135.176,105.231.37.111,1308,65516,TCP,2024-11-16 00:01:18,1232,1,1,0,0,SSH-Patator
206.0.251.244,147.40.63.102,36332,26058,TCP,2024-11-16 00:01:19,303,0,0,0,0,PortScan
169.233.140.40,148.31.244.225,51806,15199,TCP,2024-11-16 00:01:20,909,0,0,0,1,DoS slowloris
202.136.150.107,209.245.17.49,24614,45246,UDP,2024-11-16 00:01:21,536,0,1,0,0,FTP-Patator
158.187.252.43,180.213.64.43,13765,3954,UDP,2024-11-16 00:01:22,635,0,0,0,0,Heartbleed
145.177.201.11,191.80.251.231,20603,7271,Reserved,2024-11-16 00:01:23,431,1,0,1,1,BENIGN
27.116.133.37,164.133.164.234,24042,48814,UDP,2024-11-16 00:01:24,811,0,1,0,0,DoS GoldenEye
158.236.253.94,137.23.152.59,20734,54740,UDP,2024-11-16 00:01:25,1308,1,1,0,1,SSH-Patator
123.252.204.54,68.177.79.103,16013,10343,TCP,2024-11-16 00:01:26,76,0,0,1,1,DoS Slowhttptest
5.215.35.120,56.40.253.83,30003,44951,TCP,2024-11-16 00:01:27,1274,0,0,1,0,FTP-Patator
213.151.85.90,207.8.51.64,61256,3235,UDP,2024-11-16 00:01:28,495,0,1,0,1,Infiltration
132.119.155.211,196.78.51.249,37472,16384,Reserved,2024-11-16 00:01:29,330,1,1,1,0,Heartbleed
157.112.112.153,99.118.96.251,12094,41675,TCP,2024-11-16 00:01:30,556,0,0,0,1,FTP-Patator
178.141.250.67,125.223.248.235,22087,40275,UDP,2024-11-16 00:01:31,508,1,0,1,0,Infiltration
186.54.2.170,98.250.51.39,29993,39245,TCP,2024-11-16 00:01:32,269,1,0,0,0,SSH-Patator
57.116.214.194,101.3.53.185,61261,53599,UDP,2024-11-16 00:01:33,486,1,0,0,1,DoS Hulk
126.167.178.228,199.160.54.82,6561,52693,Reserved,2024-11-16 00:01:34,259,1,1,1,0,BENIGN
149.124.225.17,93.14.169.99,52289,11483,TCP,2024-11-16 00:01:35,846,0,1,1,0,DoS slowloris
41.50.101.104,44.89.215.145,51063,61575,TCP,2024-11-16 00:01:36,1128,0,1,1,0,DoS Hulk
153.173.220.227,48.214.94.227,40754,30569,UDP,2024-11-16 00:01:37,242,0,1,1,0,DoS Slowhttptest
184.245.246.37,205.222.123.251,45772,51210,Reserved,2024-11-16 00:01:38,1069,1,0,1,1,DDoS
198.190.129.237,146.239.86.214,64601,35626,Reserved,2024-11-16 00:01:39,363,0,0,0,0,FTP-Patator
181.111.29.208,102.246.131.157,19587,7519,UDP,2024-11-16 00:01:40,460,1,0,1,0,SSH-Patator
67.45.117.50,113.24.81.95,2028,31927,TCP,2024-11-16 00:01:41,1300,0,0,0,0,Infiltration
45.142.50.50,168.108.22.150,36775,61232,TCP,2024-11-16 00:01:42,1194,1,1,0,1,DDoS
207.89.140.77,92.199.191.203,62165,52128,TCP,2024-11-16 00:01:43,842,0,1,1,1,PortScan
96.20.222.160,194.136.46.9,33554,8793,Reserved,2024-11-16 00:01:44,1149,1,0,1,0,DoS slowloris
138.34.64.146,21.25.112.165,51708,58909,UDP,2024-11-16 00:01:45,291,1,0,0,1,DoS slowloris
160.205.237.60,96.128.95.243,19401,58550,UDP,2024-11-16 00:01:46,733,1,0,0,1,DoS Hulk
42.5.145.237,74.51.199.232,38424,8548,Reserved,2024-11-16 00:01:47,931,0,1,0,0,DoS slowloris
10.99.118.17,70.23.208.70,23641,12944,TCP,2024-11-16 00:01:48,603,0,0,1,1,FTP-Patator
130.25.216.90,50.153.183.34,23871,62764,TCP,2024-11-16 00:01:49,1454,1,0,0,0,Infiltration
62.144.222.37,69.42.144.211,30222,54352,Reserved,2024-11-16 00:01:50,266,1,0,0,1,DoS GoldenEye
198.104.207.11,116.86.243.18,10602,35843,TCP,2024-11-16 00:01:51,218,0,0,1,1,SSH-Patator
10.210.224.112,174.13.240.235,61724,2222,Reserved,2024-11-16 00:01:52,1244,0,1,0,0,SSH-Patator
147.183.218.119,84.62.131.178,25582,60610,Reserved,2024-11-16 00:01:53,593,1,1,0,1,SSH-Patator
35.82.176.170,131.35.213.157,34371,1931,Reserved,2024-11-16 00:01:54,1279,1,1,1,0,FTP-Patator
54.204.201.223,78.172.241.231,1691,52705,UDP,2024-11-16 00:01:55,1276,0,1,0,1,DoS slowloris
53.95.175.86,86.20.79.200,16979,7501,UDP,2024-11-16 00:01:56,506,1,0,1,1,DoS slowloris
62.92.197.48,45.159.2.94,43323,33752,UDP,2024-11-16 00:01:57,704,0,1,1,0,Infiltration
147.148.58.160,77.217.97.72,37882,16267,Reserved,2024-11-16 00:01:58,1479,0,0,0,0,Heartbleed
200.200.167.253,106.49.213.221,8325,6488,UDP,2024-11-16 00:01:59,642,1,0,0,1,BENIGN
143.210.31.218,34.250.245.209,36256,29094,Reserved,2024-11-16 00:02:00,339,1,1,0,1,Heartbleed
82.249.207.29,133.74.130.126,63965,56885,UDP,2024-11-16 00:02:01,471,1,0,1,0,Infiltration
125.84.13.116,11.163.110.158,3316,20212,TCP,2024-11-16 00:02:02,796,1,0,1,0,BENIGN
162.141.8.6,11.70.212.160,10969,26973,TCP,2024-11-16 00:02:03,798,1,1,0,0,FTP-Patator
109.222.145.68,152.150.137.117,12729,18151,TCP,2024-11-16 00:02:04,994,1,1,1,1,SSH-Patator
153.13.216.34,143.43.178.51,25947,20477,Reserved,2024-11-16 00:02:05,870,1,0,0,1,DDoS
80.100.28.134,20.174.203.20,34626,8441,Reserved,2024-11-16 00:02:06,810,0,1,0,1,DDoS
153.112.134.123,145.149.140.11,28909,2078,TCP,2024-11-16 00:02:07,1240,1,1,0,1,PortScan
144.79.175.113,26.77.19.85,32907,39477,Reserved,2024-11-16 00:02:08,1232,0,1,1,0,PortScan
174.188.28.23,211.108.112.22,25056,45222,UDP,2024-11-16 00:02:09,163,0,1,1,1,DoS Hulk
156.161.122.18,39.158.49.153,17342,8422,Reserved,2024-11-16 00:02:10,1138,1,1,0,1,Infiltration
98.154.49.197,202.39.231.217,51418,42100,UDP,2024-11-16 00:02:11,1355,0,0,1,0,DoS GoldenEye
201.214.156.117,122.217.165.80,57139,5552,Reserved,2024-11-16 00:02:12,411,1,0,0,0,Heartbleed
97.227.3.231,182.2.159.25,26250,52722,TCP,2024-11-16 00:02:13,1323,1,1,0,0,DoS slowloris
71.160.191.93,20.248.119.252,30281,17406,UDP,2024-11-16 00:02:14,1350,1,0,0,0,DoS Slowhttptest
124.164.4.114,63.210.210.172,18586,14955,UDP,2024-11-16 00:02:15,80,0,0,1,1,DoS slowloris
172.19.1.16,173.171.197.44,48324,15075,UDP,2024-11-16 00:02:16,1210,0,1,1,0,Infiltration
19.123.34.119,83.249.29.239,23419,60015,Reserved,2024-11-16 00:02:17,226,1,0,1,1,PortScan
171.39.26.50,34.107.138.118,27435,18791,UDP,2024-11-16 00:02:18,824,0,0,1,1,DoS GoldenEye
34.58.184.96,132.148.52.109,30809,38782,UDP,2024-11-16 00:02:19,775,0,1,1,1,DoS slowloris
214.198.140.52,209.140.136.6,39445,23953,Reserved,2024-11-16 00:02:20,440,0,0,0,0,DoS Hulk
199.118.66.205,6.176.219.74,1280,40435,TCP,2024-11-16 00:02:21,1127,1,0,1,1,DoS slowloris
184.38.161.149,3.96.202.187,22139,19152,TCP,2024-11-16 00:02:22,164,1,0,0,1,BENIGN
130.57.214.166,110.58.109.85,62999,45979,TCP,2024-11-16 00:02:23,1443,1,0,0,0,FTP-Patator
190.126.52.172,160.97.138.238,50647,59196,Reserved,2024-11-16 00:02:24,339,0,1,0,0,DoS GoldenEye
50.115.79.184,177.223.19.4,12553,54938,TCP,2024-11-16 00:02:25,1434,1,1,0,1,PortScan
77.113.96.220,53.168.245.84,33696,14393,TCP,2024-11-16 00:02:26,882,1,1,1,1,DDoS
8.188.177.1,53.245.107.191,13380,59519,UDP,2024-11-16 00:02:27,1172,1,0,1,1,FTP-Patator
117.28.32.95,31.69.126.165,57090,10228,Reserved,2024-11-16 00:02:28,1316,0,1,1,1,PortScan
68.157.41.143,185.163.173.119,9554,4613,TCP,2024-11-16 00:02:29,610,0,0,1,1,FTP-Patator
118.12.54.247,66.152.123.141,48006,10335,Reserved,2024-11-16 00:02:30,410,1,0,0,0,DoS Hulk
98.206.163.92,222.44.190.193,55356,45051,TCP,2024-11-16 00:02:31,1344,0,1,1,1,SSH-Patator
85.242.34.65,223.14.78.209,53568,3777,Reserved,2024-11-16 00:02:32,238,1,1,0,0,DoS slowloris
148.56.227.105,66.198.71.243,1414,37297,TCP,2024-11-16 00:02:33,1208,0,0,0,1,SSH-Patator
194.165.20.63,190.130.104.222,52111,24224,UDP,2024-11-16 00:02:34,672,0,1,1,0,BENIGN
184.187.76.82,56.68.92.245,23112,61890,UDP,2024-11-16 00:02:35,731,1,0,0,1,Infiltration
156.82.3.104,221.183.121.201,6404,49024,UDP,2024-11-16 00:02:36,111,1,1,0,0,Infiltration
113.245.168.237,5.239.211.191,35235,19754,UDP,2024-11-16 00:02:37,1072,0,0,1,0,BENIGN
26.123.239.144,90.225.146.237,1663,35536,UDP,2024-11-16 00:02:38,427,1,0,1,1,BENIGN
172.215.251.87,108.240.88.26,33418,17484,TCP,2024-11-16 00:02:39,818,1,0,1,0,PortScan
121.234.189.136,124.106.233.37,53860,20167,UDP,2024-11-16 00:02:40,298,1,1,0,0,BENIGN
128.163.108.189,115.101.95.129,46843,58036,TCP,2024-11-16 00:02:41,177,0,1,1,0,Infiltration
129.200.133.151,128.89.83.189,10400,46365,Reserved,2024-11-16 00:02:42,518,0,1,0,0,PortScan
178.168.172.97,10.250.191.6,54089,53266,TCP,2024-11-16 00:02:43,389,1,0,0,1,Heartbleed
205.180.203.3,137.241.26.195,47605,5808,Reserved,2024-11-16 00:02:44,1485,0,0,1,1,Heartbleed
212.98.100.118,197.195.48.240,43757,15694,UDP,2024-11-16 00:02:45,60,1,0,1,1,DoS Hulk
41.107.248.46,190.63.116.195,18236,28803,Reserved,2024-11-16 00:02:46,534,1,1,0,1,DoS Slowhttptest
140.218.12.73,72.79.203.105,60150,4287,TCP,2024-11-16 00:02:47,961,1,1,0,0,Infiltration
122.120.30.219,221.205.66.37,1746,20545,TCP,2024-11-16 00:02:48,342,0,1,1,0,BENIGN
195.9.103.29,55.106.196.109,54825,9130,UDP,2024-11-16 00:02:49,287,1,0,0,0,PortScan
67.21.125.178,92.52.104.102,35349,22243,Reserved,2024-11-16 00:02:50,367,0,0,1,0,FTP-Patator
100.176.0.57,194.79.83.178,63732,58672,UDP,2024-11-16 00:02:51,229,1,0,1,0,Infiltration
185.199.225.25,37.20.140.20,64248,3382,UDP,2024-11-16 00:02:52,545,1,1,0,0,FTP-Patator
192.172.52.127,39.168.55.72,6038,30463,Reserved,2024-11-16 00:02:53,510,0,1,1,0,Heartbleed
209.126.179.45,148.126.137.192,6886,53442,UDP,2024-11-16 00:02:54,1321,1,0,1,0,DoS Hulk
56.225.109.161,23.38.41.222,21594,42791,TCP,2024-11-16 00:02:55,517,0,1,0,1,PortScan
3.106.113.98,171.169.61.71,14019,19464,TCP,2024-11-16 00:02:56,1428,0,1,0,1,PortScan
216.165.159.126,205.31.32.85,26329,43133,UDP,2024-11-16 00:02:57,401,1,1,0,1,DoS GoldenEye
184.143.8.15,180.240.8.5,16179,57509,Reserved,2024-11-16 00:02:58,1438,0,1,1,0,DoS slowloris
137.133.107.159,18.69.161.67,17989,16010,TCP,2024-11-16 00:02:59,83,0,1,0,0,FTP-Patator
1.103.172.17,191.62.196.177,51811,25238,UDP,2024-11-16 00:03:00,805,0,1,1,1,DoS GoldenEye
31.9.158.94,118.171.29.202,26088,29849,TCP,2024-11-16 00:03:01,818,1,0,1,0,SSH-Patator
168.226.10.125,49.214.79.1,29824,46949,TCP,2024-11-16 00:03:02,230,0,0,0,1,DDoS
102.241.205.243,97.237.84.59,51254,4634,UDP,2024-11-16 00:03:03,78,1,0,0,1,SSH-Patator
103.217.222.204,131.220.82.63,43140,42132,UDP,2024-11-16 00:03:04,806,0,1,1,0,DDoS
173.31.98.75,45.234.123.251,17932,36673,TCP,2024-11-16 00:03:05,382,1,0,0,1,DoS slowloris
151.30.99.232,120.4.21.2,25363,31232,TCP,2024-11-16 00:03:06,898,0,1,0,1,DoS GoldenEye
160.228.90.2,196.25.189.216,8785,35718,TCP,2024-11-16 00:03:07,457,0,0,0,1,PortScan
1.199.140.145,158.215.162.153,11362,37269,UDP,2024-11-16 00:03:08,406,0,1,0,0,Heartbleed
106.205.0.66,117.165.84.146,47712,60460,UDP,2024-11-16 00:03:09,1130,0,0,1,1,PortScan
164.48.206.115,37.52.148.150,7196,59199,TCP,2024-11-16 00:03:10,934,0,0,0,1,FTP-Patator
75.146.166.51,192.101.38.81,15649,39538,UDP,2024-11-16 00:03:11,285,0,0,0,1,Infiltration
192.202.240.248,186.117.52.99,2122,58966,Reserved,2024-11-16 00:03:12,897,0,1,0,0,DoS GoldenEye
204.192.232.96,189.30.127.26,51396,19015,TCP,2024-11-16 00:03:13,1193,1,1,0,0,DoS GoldenEye
110.237.56.26,120.235.224.68,6012,36557,Reserved,2024-11-16 00:03:14,534,1,0,0,0,DoS slowloris
183.53.28.56,124.225.242.138,7053,4450,Reserved,2024-11-16 00:03:15,409,1,0,0,1,DoS Hulk
2.228.216.149,192.41.242.51,32098,14436,TCP,2024-11-16 00:03:16,347,1,0,0,1,Infiltration
98.127.57.184,119.233.177.221,32936,15740,TCP,2024-11-16 00:03:17,476,1,1,1,1,DoS Hulk
162.236.127.85,196.102.253.77,29804,3763,UDP,2024-11-16 00:03:18,591,1,1,0,0,FTP-Patator
161.107.75.76,129.37.202.166,57028,27623,UDP,2024-11-16 00:03:19,1189,1,1,1,0,Heartbleed
4.42.213.54,80.100.20.44,39876,33606,Reserved,2024-11-16 00:03:20,859,0,0,0,0,DoS Hulk
47.80.102.52,132.233.109.185,45174,51174,Reserved,2024-11-16 00:03:21,685,1,1,0,0,Infiltration
179.222.51.246,6.243.33.202,10845,62237,TCP,2024-11-16 00:03:22,54,1,0,0,0,PortScan
97.216.171.174,41.69.157.201,8568,19619,Reserved,2024-11-16 00:03:23,121,0,0,0,1,BENIGN
34.83.75.253,43.5.53.111,65408,64081,UDP,2024-11-16 00:03:24,75,1,0,1,1,DoS Hulk
111.67.102.222,188.64.92.169,35563,53673,UDP,2024-11-16 00:03:25,405,1,0,1,0,FTP-Patator
189.19.109.141,3.7.244.233,60773,25573,UDP,2024-11-16 00:03:26,1138,0,0,1,0,Heartbleed
116.36.168.0,33.247.65.90,58047,42814,Reserved,2024-11-16 00:03:27,373,0,1,1,0,DoS GoldenEye
55.254.137.90,5.111.232.229,10480,56785,TCP,2024-11-16 00:03:28,1060,1,0,1,1,DDoS
72.208.142.150,190.204.17.132,5644,32044,UDP,2024-11-16 00:03:29,177,0,1,1,1,DoS Slowhttptest
210.145.108.67,113.66.31.248,58640,10837,UDP,2024-11-16 00:03:30,1009,1,1,1,0,Heartbleed
32.165.68.108,137.227.216.114,1343,57691,TCP,2024-11-16 00:03:31,960,0,1,1,1,DoS GoldenEye
92.238.186.219,120.253.61.0,35980,48469,UDP,2024-11-16 00:03:32,456,1,1,0,0,DoS Slowhttptest
31.112.215.154,21.114.181.37,5363,52025,Reserved,2024-11-16 00:03:33,1432,1,1,1,0,DDoS
43.124.141.130,116.18.167.19,33310,18274,Reserved,2024-11-16 00:03:34,1215,1,1,1,0,DoS GoldenEye
176.82.19.156,166.102.166.207,13389,41746,TCP,2024-11-16 00:03:35,356,0,1,0,0,SSH-Patator
68.239.98.40,223.49.253.93,54178,50988,UDP,2024-11-16 00:03:36,196,0,1,0,1,SSH-Patator
166.182.10.30,151.17.12.234,32249,28539,TCP,2024-11-16 00:03:37,174,0,0,1,1,DoS Slowhttptest
129.153.186.19,178.204.171.209,60331,39503,TCP,2024-11-16 00:03:38,237,1,0,1,1,DoS Slowhttptest
139.202.88.141,164.244.38.249,21755,16021,Reserved,2024-11-16 00:03:39,545,0,1,0,1,PortScan
174.130.142.63,26.69.1.87,46975,48840,UDP,2024-11-16 00:03:40,440,0,1,0,0,DoS Hulk
110.179.123.186,9.156.232.49,4208,5896,TCP,2024-11-16 00:03:41,892,1,1,1,0,DoS slowloris
69.173.187.240,133.87.200.14,17224,38028,TCP,2024-11-16 00:03:42,508,1,1,0,0,Heartbleed
57.230.209.79,91.156.204.149,35932,64930,UDP,2024-11-16 00:03:43,216,1,0,0,0,Heartbleed
216.241.232.58,123.128.25.193,5822,7044,TCP,2024-11-16 00:03:44,407,1,0,0,1,DDoS
70.243.104.15,157.105.36.124,64583,25210,UDP,2024-11-16 00:03:45,1031,1,0,1,1,DoS GoldenEye
201.115.153.65,43.13.172.181,47082,13000,UDP,2024-11-16 00:03:46,393,0,1,1,1,FTP-Patator
45.90.99.207,116.179.164.190,19374,48745,TCP,2024-11-16 00:03:47,305,1,0,0,1,DoS GoldenEye
74.219.209.149,198.136.157.64,44934,22205,Reserved,2024-11-16 00:03:48,1446,1,1,0,0,PortScan
121.85.142.113,118.59.202.3,26662,38514,TCP,2024-11-16 00:03:49,1292,1,0,1,1,DDoS
121.37.122.171,50.180.97.186,64422,16322,UDP,2024-11-16 00:03:50,1387,0,1,0,1,PortScan
179.81.187.124,179.201.192.232,16910,47131,TCP,2024-11-16 00:03:51,988,0,0,1,1,SSH-Patator
114.36.215.111,184.128.156.56,20633,6138,UDP,2024-11-16 00:03:52,960,0,1,1,1,SSH-Patator
139.56.142.231,135.92.253.125,55255,4224,TCP,2024-11-16 00:03:53,424,1,0,1,1,FTP-Patator
196.22.75.150,14.75.217.61,40208,3421,UDP,2024-11-16 00:03:54,320,0,1,1,1,PortScan
103.18.126.35,175.179.159.160,47073,30684,TCP,2024-11-16 00:03:55,1013,0,0,1,1,DoS slowloris
91.11.83.243,207.17.61.25,52765,33905,TCP,2024-11-16 00:03:56,902,1,1,1,0,PortScan
16.34.96.230,154.203.209.88,52693,32394,TCP,2024-11-16 00:03:57,298,0,1,1,0,BENIGN
10.99.33.38,215.55.74.166,63400,39828,TCP,2024-11-16 00:03:58,1043,0,1,1,0,Heartbleed
61.96.238.244,162.39.12.50,36821,41451,Reserved,2024-11-16 00:03:59,1114,0,0,1,1,SSH-Patator
162.208.96.27,223.187.128.156,23151,53361,UDP,2024-11-16 00:04:00,204,0,1,1,0,DoS GoldenEye
166.233.138.173,152.52.144.76,38246,20247,UDP,2024-11-16 00:04:01,1292,0,0,0,0,FTP-Patator
22.41.237.97,219.178.125.140,36666,47420,Reserved,2024-11-16 00:04:02,1300,0,0,1,0,DoS Hulk
