"source_ip","protocol_name","total_packet_forwarded"
"151.101.0.249",TCP,797.0
"31.13.80.36",TCP,794.0
"23.52.155.27",TCP,794.0
"172.217.3.99",TCP,793.0
"172.217.10.110",TCP,783.0
"151.101.21.127",TCP,782.0
"23.194.142.69",TCP,780.0
"172.217.10.78",TCP,776.0
"54.192.37.17",TCP,739.0
"172.217.12.163",TCP,728.0
"192.243.232.58",TCP,716.0
"172.217.11.3",TCP,716.0
"172.217.10.227",TCP,709.0
"54.192.37.39",TCP,700.0
"172.217.10.3",TCP,695.0
"104.88.12.39",TCP,688.0
"199.244.48.51",TCP,683.0
"172.217.10.131",TCP,674.0
"172.217.10.6",TCP,674.0
"151.101.0.166",TCP,671.0
"173.241.242.220",TCP,671.0
"205.185.208.154",TCP,670.0
"172.217.7.14",TCP,667.0
"23.15.4.18",TCP,663.0
"104.97.137.120",TCP,663.0
"172.217.9.227",TCP,633.0
"23.54.187.27",TCP,632.0
"151.101.1.108",TCP,630.0
"216.58.219.226",TCP,608.0
"192.168.10.8",Reserved,608.0
"172.217.6.227",TCP,606.0
"172.217.12.198",TCP,603.0
"211.233.74.23",TCP,602.0
"104.97.139.37",TCP,600.0
"117.27.230.186",TCP,599.0
"151.101.2.2",TCP,594.0
"72.247.69.199",TCP,588.0
"192.0.77.32",TCP,585.0
"172.217.12.166",TCP,578.0
"192.168.10.50",Reserved,578.0
"172.217.12.131",TCP,559.0
"172.217.3.100",TCP,558.0
"117.27.230.185",TCP,557.0
"54.192.37.234",TCP,557.0
"184.29.129.62",TCP,556.0
"23.194.141.58",TCP,555.0
"162.248.16.28",TCP,555.0
"54.192.37.254",TCP,555.0
"74.119.118.82",TCP,554.0
"172.217.11.6",TCP,546.0
"74.119.118.67",TCP,544.0
"69.172.216.111",TCP,542.0
"31.13.69.203",TCP,541.0
"104.97.91.19",TCP,539.0
"68.67.178.176",TCP,535.0
"74.117.200.68",TCP,532.0
"23.208.165.24",TCP,522.0
"23.111.11.111",TCP,521.0
"172.217.6.230",TCP,515.0
"23.194.141.198",TCP,513.0
"23.194.180.133",TCP,507.0
"14.18.201.48",TCP,506.0
"54.192.37.69",TCP,503.0
"216.58.219.206",TCP,503.0
"31.13.69.228",TCP,503.0
"172.217.10.230",TCP,502.0
"172.217.10.99",TCP,498.0
"151.101.22.2",TCP,495.0
"192.243.232.36",TCP,491.0
"172.217.12.129",TCP,491.0
"152.163.66.165",TCP,490.0
"195.142.107.70",TCP,483.0
"172.217.12.134",TCP,482.0
"151.101.0.207",TCP,478.0
"23.192.74.53",TCP,475.0
"172.217.12.193",TCP,466.0
"104.97.117.153",TCP,463.0
"172.217.10.134",TCP,463.0
"172.217.11.35",TCP,462.0
"69.166.1.14",TCP,462.0
"69.147.82.60",TCP,461.0
"172.217.10.38",TCP,460.0
"199.59.150.44",TCP,460.0
"172.16.0.1",Reserved,458.0
"23.15.155.27",TCP,456.0
"23.15.4.11",TCP,452.0
"23.15.4.8",TCP,448.0
"68.67.178.196",TCP,447.0
"23.208.26.242",TCP,446.0
"216.58.219.194",TCP,442.0
"172.217.11.38",TCP,439.0
"211.233.74.132",TCP,437.0
"172.217.10.225",TCP,436.0
"172.217.9.230",TCP,435.0
"204.79.197.200",TCP,430.0
"172.217.9.225",TCP,424.0
"172.217.12.196",TCP,422.0
"172.217.7.3",TCP,421.0
"74.119.118.66",TCP,418.0
"199.96.57.6",TCP,418.0
"203.154.100.144",TCP,418.0
"8.43.72.112",TCP,417.0
"172.217.10.129",TCP,414.0
"23.208.160.244",TCP,409.0
"152.163.66.131",TCP,408.0
"23.15.4.16",TCP,408.0
"172.217.10.70",TCP,408.0
"172.217.12.161",TCP,406.0
"172.217.10.102",TCP,404.0
"192.82.242.21",TCP,399.0
"74.119.118.100",TCP,399.0
"172.217.12.170",TCP,398.0
"172.104.46.66",TCP,396.0
"104.97.73.5",TCP,390.0
"68.67.178.252",TCP,390.0
"172.217.3.102",TCP,387.0
"156.154.200.36",TCP,385.0
"205.185.216.10",TCP,382.0
"23.15.4.9",TCP,382.0
"216.58.219.227",TCP,376.0
"199.59.148.12",TCP,373.0
"68.67.178.111",TCP,371.0
"172.217.10.132",TCP,368.0
"63.251.88.56",TCP,367.0
"64.147.131.201",TCP,366.0
"208.185.50.80",TCP,366.0
"172.217.9.234",TCP,364.0
"192.0.73.2",TCP,358.0
"151.101.208.249",TCP,357.0
"72.167.239.239",TCP,356.0
"23.194.140.43",TCP,355.0
"172.217.6.225",TCP,354.0
"172.217.7.1",TCP,353.0
"104.97.74.244",TCP,352.0
"172.217.10.67",TCP,351.0
"52.84.145.201",TCP,350.0
"172.217.6.193",TCP,349.0
"104.97.125.186",TCP,348.0
"104.97.74.19",TCP,345.0
"216.58.219.195",TCP,342.0
"104.88.42.42",TCP,342.0
"204.11.109.67",TCP,341.0
"93.184.216.172",TCP,340.0
"68.67.180.12",TCP,339.0
"172.217.11.1",TCP,339.0
"204.11.109.65",TCP,338.0
"23.15.4.10",TCP,337.0
"23.194.141.47",TCP,336.0
"220.181.7.190",TCP,332.0
"23.15.4.17",TCP,331.0
"208.185.50.90",TCP,331.0
"34.195.235.210",TCP,330.0
"23.36.34.56",TCP,330.0
"208.84.244.40",TCP,329.0
"172.217.3.106",TCP,328.0
"63.251.98.12",TCP,326.0
"68.67.180.45",TCP,326.0
"172.217.10.234",TCP,325.0
"151.101.0.175",TCP,324.0
"68.67.178.246",TCP,323.0
"172.217.6.195",TCP,321.0
"68.67.178.132",TCP,321.0
"172.217.10.10",TCP,319.0
"172.217.10.1",TCP,318.0
"162.248.16.24",TCP,314.0
"72.21.91.70",TCP,312.0
"172.217.12.164",TCP,310.0
"172.217.6.196",TCP,310.0
"87.250.250.119",TCP,309.0
"23.15.4.24",TCP,309.0
"146.148.13.21",TCP,307.0
"72.21.91.66",TCP,306.0
"172.217.10.228",TCP,306.0
"23.192.9.190",TCP,305.0
"72.30.3.43",TCP,302.0
"172.217.11.10",TCP,300.0
"68.67.178.243",TCP,299.0
"151.101.21.108",TCP,299.0
"172.217.12.168",TCP,298.0
"162.247.242.20",TCP,297.0
"52.84.145.148",TCP,296.0
"69.28.157.213",TCP,296.0
"72.30.2.182",TCP,295.0
"23.194.140.15",TCP,295.0
"172.217.11.42",TCP,294.0
"172.217.7.164",TCP,293.0
"68.67.178.173",TCP,292.0
"104.97.122.33",TCP,290.0
"23.208.101.109",TCP,290.0
"207.200.74.133",TCP,289.0
"34.196.187.65",TCP,288.0
"172.217.10.36",TCP,288.0
"205.185.216.42",TCP,286.0
"54.86.16.198",TCP,286.0
"104.19.196.102",TCP,286.0
"68.67.178.137",TCP,286.0
"172.217.10.42",TCP,285.0
"151.101.44.134",TCP,285.0
"162.247.242.19",TCP,284.0
"216.58.219.230",TCP,284.0
"108.161.188.138",TCP,283.0
"149.174.66.131",TCP,283.0
"205.234.175.175",TCP,282.0
"151.101.1.69",TCP,281.0
"151.101.46.2",TCP,281.0
"172.217.10.65",TCP,280.0
"204.15.8.12",TCP,279.0
"23.208.217.175",TCP,279.0
"172.217.12.132",TCP,278.0
"104.97.135.177",TCP,277.0
"151.101.210.2",TCP,276.0
"8.247.89.217",TCP,276.0
"23.208.101.123",TCP,275.0
"184.31.6.135",TCP,275.0
"68.67.178.230",TCP,275.0
"79.127.127.5",TCP,275.0
"104.97.73.166",TCP,273.0
"172.217.12.202",TCP,273.0
"23.208.79.80",TCP,273.0
"192.243.250.58",TCP,273.0
"151.101.128.166",TCP,273.0
"185.13.88.201",TCP,272.0
"172.217.7.4",TCP,272.0
"174.35.73.94",TCP,271.0
"151.101.20.166",TCP,271.0
"185.86.139.29",TCP,270.0
"104.24.29.35",TCP,269.0
"192.229.211.82",TCP,268.0
"68.67.178.170",TCP,267.0
"52.84.86.104",TCP,266.0
"172.217.10.97",TCP,266.0
"151.101.2.49",TCP,265.0
"52.84.145.156",TCP,264.0
"172.217.10.4",TCP,264.0
"23.194.140.172",TCP,263.0
"23.208.218.66",TCP,262.0
"23.220.41.148",TCP,262.0
"68.67.180.44",TCP,262.0
"23.194.108.108",TCP,260.0
"104.19.194.102",TCP,258.0
"151.101.0.68",TCP,256.0
"31.13.65.7",TCP,256.0
"68.67.178.109",TCP,256.0
"64.4.54.254",TCP,254.0
"95.213.11.181",TCP,253.0
"113.29.189.10",TCP,253.0
"104.244.46.199",TCP,252.0
"199.59.150.10",TCP,252.0
"23.217.38.252",TCP,252.0
"8.43.72.32",TCP,251.0
"204.15.8.11",TCP,251.0
"34.210.245.93",TCP,251.0
"208.111.171.200",TCP,251.0
"172.217.6.234",TCP,250.0
"185.167.164.37",TCP,249.0
"52.84.145.229",TCP,248.0
"199.59.149.243",TCP,248.0
"23.194.140.85",TCP,248.0
"199.187.193.130",TCP,247.0
"172.217.10.74",TCP,247.0
"192.243.250.36",TCP,246.0
"104.88.21.130",TCP,246.0
"172.217.12.136",TCP,246.0
"172.104.52.34",TCP,244.0
"104.79.143.90",TCP,242.0
"107.178.242.85",TCP,242.0
"8.43.72.21",TCP,242.0
"195.142.105.15",TCP,242.0
"151.101.208.166",TCP,241.0
"162.247.242.18",TCP,241.0
"52.38.5.243",TCP,240.0
"8.43.72.97",TCP,240.0
"8.43.72.98",TCP,240.0
"172.217.5.228",TCP,239.0
"74.119.118.84",TCP,239.0
"68.67.178.199",TCP,239.0
"199.59.88.242",TCP,238.0
"68.67.178.110",TCP,236.0
"72.247.71.166",TCP,235.0
"157.240.18.5",TCP,235.0
"172.217.3.104",TCP,233.0
"23.65.11.27",TCP,233.0
"104.88.55.49",TCP,233.0
"104.19.192.102",TCP,233.0
"172.217.6.228",TCP,232.0
"104.88.49.187",TCP,232.0
"152.163.13.4",TCP,231.0
"34.204.30.8",TCP,231.0
"216.58.219.193",TCP,230.0
"133.237.48.235",TCP,230.0
"87.250.247.184",TCP,229.0
"172.217.6.198",TCP,229.0
"104.97.87.215",TCP,228.0
"107.154.79.224",TCP,228.0
"172.217.10.72",TCP,228.0
"172.217.7.132",TCP,227.0
"192.243.250.16",TCP,227.0
"184.29.128.170",TCP,226.0
"68.67.178.197",TCP,226.0
"50.31.164.174",TCP,226.0
"185.167.164.39",TCP,225.0
"98.139.225.43",TCP,225.0
"80.82.201.86",TCP,224.0
"68.67.178.138",TCP,224.0
"23.208.89.161",TCP,224.0
"199.59.149.233",TCP,224.0
"31.13.69.193",TCP,224.0
"69.169.85.7",TCP,223.0
"54.71.197.51",TCP,223.0
"151.101.32.166",TCP,222.0
"212.77.100.127",TCP,220.0
"104.27.121.110",TCP,220.0
"104.88.9.44",TCP,219.0
"74.119.118.86",TCP,219.0
"174.35.73.138",TCP,219.0
"64.147.131.160",TCP,218.0
"23.52.152.146",TCP,218.0
"195.178.101.237",TCP,217.0
"80.82.201.85",TCP,217.0
"23.194.141.170",TCP,217.0
"69.16.175.42",TCP,217.0
"69.169.86.39",TCP,217.0
"172.217.7.163",TCP,216.0
"178.255.83.1",TCP,216.0
"104.88.82.90",TCP,215.0
"178.239.182.230",TCP,214.0
"172.217.10.232",TCP,214.0
"139.162.16.124",TCP,214.0
"74.119.118.71",TCP,212.0
"199.16.156.11",TCP,211.0
"107.178.245.205",TCP,211.0
"23.194.141.30",TCP,211.0
"68.67.154.70",TCP,211.0
"192.0.76.3",TCP,211.0
"156.154.202.36",TCP,211.0
"117.27.230.181",TCP,210.0
"216.58.219.234",TCP,210.0
"172.217.3.97",TCP,210.0
"172.217.10.8",TCP,209.0
"50.31.164.173",TCP,209.0
"172.217.10.33",TCP,209.0
"208.81.233.32",TCP,209.0
"63.251.248.136",TCP,209.0
"192.124.249.5",TCP,209.0
"184.30.4.121",TCP,208.0
"192.33.31.162",TCP,207.0
"96.16.193.174",TCP,206.0
"91.236.51.44",TCP,206.0
"31.13.80.2",TCP,205.0
"35.164.147.83",TCP,205.0
"23.203.98.109",TCP,204.0
"23.208.150.230",TCP,204.0
"104.88.54.24",TCP,203.0
"198.232.125.123",TCP,203.0
"69.169.85.6",TCP,202.0
"52.84.134.210",TCP,202.0
"172.217.11.33",TCP,202.0
"35.160.100.86",TCP,201.0
"199.59.148.11",TCP,201.0
"172.217.7.10",TCP,201.0
"172.217.7.196",TCP,201.0
"172.217.9.232",TCP,201.0
"98.139.225.35",TCP,200.0
"23.194.140.205",TCP,199.0
"172.217.12.138",TCP,198.0
"8.18.45.80",TCP,197.0
"74.125.29.156",TCP,197.0
"104.97.123.3",TCP,197.0
"199.167.65.22",TCP,196.0
"151.101.20.249",TCP,196.0
"174.35.73.204",TCP,196.0
"130.250.51.150",TCP,195.0
"74.119.118.78",TCP,195.0
"204.11.109.68",TCP,195.0
"195.93.42.12",TCP,194.0
"172.217.5.227",TCP,194.0
"52.7.187.140",TCP,194.0
"172.217.7.6",TCP,194.0
"94.31.29.55",TCP,193.0
"104.97.120.94",TCP,192.0
"174.35.73.202",TCP,191.0
"162.213.33.50",TCP,190.0
"172.217.12.200",TCP,190.0
"151.101.2.109",TCP,190.0
"216.58.219.202",TCP,190.0
"74.119.118.72",TCP,189.0
"192.35.249.120",TCP,189.0
"74.125.29.154",TCP,189.0
"192.168.10.12",Reserved,188.0
"52.84.145.128",TCP,188.0
"209.48.71.242",TCP,188.0
"199.59.150.46",TCP,188.0
"104.97.125.195",TCP,188.0
"193.41.230.87",TCP,186.0
"198.8.70.212",TCP,186.0
"151.101.20.207",TCP,186.0
"192.229.163.25",TCP,185.0
"31.13.80.52",TCP,184.0
"188.165.145.88",TCP,184.0
"52.84.145.224",TCP,184.0
"69.169.86.38",TCP,184.0
"54.219.150.156",TCP,184.0
"178.154.131.216",TCP,183.0
"107.178.255.114",TCP,183.0
"172.217.10.104",TCP,183.0
"173.241.254.199",TCP,182.0
"172.217.10.68",TCP,182.0
"199.16.156.75",TCP,182.0
"184.25.203.54",TCP,181.0
"162.248.16.50",TCP,181.0
"80.247.66.26",TCP,181.0
"104.97.101.128",TCP,181.0
"151.101.129.69",TCP,181.0
"23.22.206.204",TCP,180.0
"192.83.254.182",TCP,180.0
"192.0.77.2",TCP,179.0
"72.21.81.200",TCP,178.0
"199.59.150.42",TCP,178.0
"104.88.60.97",TCP,178.0
"104.88.8.185",TCP,178.0
"104.20.16.243",TCP,177.0
"213.180.204.92",TCP,176.0
"104.20.15.243",TCP,175.0
"104.88.37.207",TCP,175.0
"8.41.222.241",TCP,174.0
"23.194.141.200",TCP,174.0
"192.168.10.16",Reserved,174.0
"23.194.180.207",TCP,174.0
"198.54.12.127",TCP,173.0
"151.101.209.108",TCP,173.0
"172.217.11.36",TCP,172.0
"151.101.64.166",TCP,172.0
"23.203.72.172",TCP,172.0
"13.107.21.200",TCP,172.0
"130.250.51.144",TCP,171.0
"23.199.173.20",TCP,171.0
"104.97.73.172",TCP,170.0
"151.101.0.84",TCP,170.0
"104.19.195.102",TCP,169.0
"23.194.142.125",TCP,169.0
"104.97.76.189",TCP,169.0
"104.27.120.110",TCP,168.0
"172.217.10.138",TCP,168.0
"157.240.11.35",TCP,168.0
"65.55.44.109",TCP,168.0
"172.217.6.200",TCP,167.0
"5.196.119.249",TCP,167.0
"151.101.1.5",TCP,167.0
"8.43.72.42",TCP,166.0
"104.88.65.156",TCP,166.0
"194.126.157.22",TCP,166.0
"23.194.141.202",TCP,166.0
"74.125.29.155",TCP,166.0
"23.194.142.21",TCP,166.0
"149.174.66.133",TCP,166.0
"113.29.190.10",TCP,166.0
"104.97.139.140",TCP,165.0
"172.217.6.232",TCP,164.0
"198.8.70.211",TCP,164.0
"104.117.69.2",TCP,164.0
"148.251.76.202",TCP,164.0
"35.165.206.251",TCP,163.0
"182.161.73.84",TCP,163.0
"217.118.87.98",TCP,163.0
"104.17.161.9",TCP,163.0
"31.13.71.2",TCP,162.0
"173.223.202.148",TCP,162.0
"64.12.245.38",TCP,162.0
"52.11.164.190",TCP,162.0
"104.88.14.9",TCP,162.0
"205.185.208.27",TCP,161.0
"172.217.6.202",TCP,161.0
"80.82.201.94",TCP,161.0
"74.125.29.157",TCP,161.0
"191.237.32.134",TCP,161.0
"174.35.72.251",TCP,160.0
"172.217.11.8",TCP,160.0
"23.194.110.133",TCP,160.0
"209.197.3.19",TCP,160.0
"198.54.12.145",TCP,160.0
"72.21.81.48",TCP,159.0
"54.192.37.22",TCP,159.0
"54.210.234.197",TCP,158.0
"203.130.53.126",TCP,158.0
"192.229.163.97",TCP,158.0
"216.58.219.225",TCP,158.0
"104.97.139.173",TCP,158.0
"172.217.3.35",TCP,158.0
"66.110.99.16",TCP,158.0
"104.16.125.228",TCP,158.0
"104.97.137.26",TCP,157.0
"94.31.29.250",TCP,157.0
"174.35.73.95",TCP,156.0
"192.229.163.180",TCP,156.0
"50.31.164.175",TCP,156.0
"140.205.62.20",TCP,156.0
"151.101.130.2",TCP,156.0
"213.180.193.119",TCP,156.0
"23.77.88.53",TCP,156.0
"104.97.73.184",TCP,156.0
"104.97.123.193",TCP,154.0
"8.43.72.72",TCP,154.0
"80.82.201.80",TCP,154.0
"117.27.232.35",TCP,154.0
"75.98.9.196",TCP,153.0
"172.217.10.136",TCP,153.0
"23.208.103.179",TCP,153.0
"119.146.74.49",TCP,152.0
"172.217.8.4",TCP,152.0
"52.84.145.177",TCP,152.0
"107.21.49.180",TCP,152.0
"192.132.33.27",TCP,150.0
"52.203.243.74",TCP,150.0
"182.161.73.86",TCP,150.0
"104.79.155.110",TCP,150.0
"192.0.72.2",TCP,150.0
"23.194.140.38",TCP,149.0
"23.194.141.104",TCP,149.0
"199.59.150.11",TCP,149.0
"151.101.208.175",TCP,148.0
"117.27.230.182",TCP,148.0
"87.250.251.119",TCP,148.0
"151.101.208.230",TCP,148.0
"23.194.111.147",TCP,148.0
"104.97.123.64",TCP,148.0
"104.97.71.5",TCP,147.0
"104.88.75.116",TCP,147.0
"104.16.25.216",TCP,147.0
"107.178.240.89",TCP,146.0
"112.121.107.20",TCP,146.0
"174.35.72.11",TCP,146.0
"151.101.0.69",TCP,146.0
"216.58.217.164",TCP,146.0
"162.208.22.39",TCP,146.0
"172.217.10.106",TCP,145.0
"185.54.150.20",TCP,145.0
"151.101.20.84",TCP,144.0
"54.192.37.221",TCP,144.0
"199.59.148.85",TCP,144.0
"204.154.110.79",TCP,143.0
"23.67.2.35",TCP,143.0
"152.163.20.130",TCP,143.0
"23.34.74.210",TCP,142.0
"23.76.192.43",TCP,142.0
"142.4.219.35",TCP,142.0
"23.203.96.167",TCP,142.0
"172.224.13.96",TCP,141.0
"23.208.30.80",TCP,141.0
"54.192.37.120",TCP,141.0
"216.58.218.228",TCP,141.0
"183.79.248.124",TCP,141.0
"38.72.130.133",TCP,141.0
"104.97.127.80",TCP,140.0
"69.172.216.55",TCP,140.0
"50.97.40.233",TCP,140.0
"151.101.44.249",TCP,140.0
"149.174.66.134",TCP,139.0
"220.243.219.55",TCP,139.0
"192.229.173.173",TCP,138.0
"199.38.164.55",TCP,138.0
"133.237.48.32",TCP,138.0
"54.175.8.42",TCP,138.0
"45.33.49.119",TCP,138.0
"104.17.162.9",TCP,138.0
"157.240.11.22",TCP,138.0
"151.101.65.108",TCP,138.0
"104.20.10.37",TCP,138.0
"151.101.66.2",TCP,138.0
"23.66.246.24",TCP,137.0
"54.192.36.134",TCP,137.0
"38.71.5.33",TCP,137.0
"72.30.202.150",TCP,137.0
"27.0.237.143",TCP,136.0
"104.244.46.39",TCP,136.0
"23.36.33.160",TCP,136.0
"8.0.69.0",Reserved,136.0
"104.88.109.24",TCP,136.0
"157.240.0.35",TCP,136.0
"104.20.30.2",TCP,135.0
"139.61.74.125",TCP,135.0
"23.199.171.103",TCP,135.0
"192.168.10.9",Reserved,135.0
"52.84.145.42",TCP,134.0
"198.255.77.58",TCP,134.0
"23.208.106.210",TCP,134.0
"104.27.147.180",TCP,134.0
"151.101.45.108",TCP,134.0
"52.84.145.17",TCP,134.0
"23.194.140.100",TCP,134.0
"61.251.98.135",TCP,133.0
"216.58.212.131",TCP,133.0
"117.53.117.16",TCP,133.0
"205.185.208.25",TCP,133.0
"157.240.2.7",TCP,133.0
"104.16.26.216",TCP,133.0
"38.72.130.155",TCP,133.0
"151.101.65.34",TCP,132.0
"152.163.13.6",TCP,132.0
"204.11.109.66",TCP,132.0
"104.97.96.142",TCP,132.0
"193.232.151.159",TCP,132.0
"66.235.147.237",TCP,132.0
"160.17.5.1",TCP,132.0
"204.13.194.231",TCP,131.0
"172.217.11.4",TCP,131.0
"38.65.9.35",TCP,130.0
"104.97.94.187",TCP,130.0
"52.84.145.166",TCP,130.0
"54.230.38.82",TCP,130.0
"64.94.116.192",TCP,130.0
"151.101.46.84",TCP,130.0
"173.194.204.156",TCP,130.0
"184.84.243.218",TCP,130.0
"157.240.2.20",TCP,130.0
"216.58.218.227",TCP,129.0
"52.33.75.90",TCP,129.0
"72.21.206.141",TCP,129.0
"31.13.80.9",TCP,129.0
"107.178.247.57",TCP,129.0
"69.172.216.56",TCP,129.0
"96.16.193.83",TCP,128.0
"208.81.233.48",TCP,128.0
"160.83.8.182",TCP,128.0
"172.217.9.228",TCP,128.0
"72.21.91.113",TCP,128.0
"133.237.16.47",TCP,127.0
"199.187.193.140",TCP,127.0
"5.196.119.250",TCP,127.0
"63.251.240.12",TCP,127.0
"72.247.66.99",TCP,127.0
"91.214.6.22",TCP,127.0
"172.217.7.227",TCP,127.0
"192.229.211.40",TCP,127.0
"216.58.212.163",TCP,126.0
"38.69.238.10",TCP,126.0
"184.73.171.96",TCP,126.0
"104.97.141.192",TCP,126.0
"192.35.249.127",TCP,126.0
"172.217.7.228",TCP,126.0
"104.25.113.17",TCP,125.0
"64.71.142.110",TCP,125.0
"52.84.145.242",TCP,124.0
"174.35.73.137",TCP,124.0
"23.198.234.162",TCP,124.0
"192.229.173.213",TCP,124.0
"96.16.193.15",TCP,124.0
"104.16.27.216",TCP,123.0
"173.223.152.168",TCP,123.0
"54.239.17.113",TCP,123.0
"151.101.192.69",TCP,123.0
"185.86.137.42",TCP,122.0
"95.142.19.2",TCP,122.0
"185.11.128.203",TCP,122.0
"34.228.123.174",TCP,122.0
"216.58.219.198",TCP,122.0
"184.86.217.145",TCP,122.0
"52.9.9.68",TCP,122.0
"104.199.123.9",TCP,122.0
"52.84.143.13",TCP,122.0
"74.220.195.201",TCP,122.0
"216.104.218.219",TCP,122.0
"172.217.7.195",TCP,122.0
"23.203.68.45",TCP,121.0
"199.187.193.19",TCP,121.0
"175.111.83.1",TCP,121.0
"198.252.206.25",TCP,121.0
"104.88.108.162",TCP,121.0
"172.217.7.131",TCP,121.0
"151.101.65.69",TCP,121.0
"52.84.145.243",TCP,120.0
"202.153.190.10",TCP,120.0
"151.101.46.109",TCP,120.0
"130.211.5.178",TCP,120.0
"204.2.255.232",TCP,120.0
"199.16.156.105",TCP,119.0
"69.147.82.61",TCP,119.0
"23.5.251.27",TCP,119.0
"192.99.16.44",TCP,119.0
"178.250.0.77",TCP,119.0
"104.16.32.229",TCP,119.0
"185.167.164.41",TCP,119.0
"104.79.150.160",TCP,119.0
"152.195.12.73",TCP,119.0
"104.94.218.227",TCP,119.0
"54.192.38.6",TCP,119.0
"54.192.36.36",TCP,119.0
"104.88.58.222",TCP,118.0
"23.211.130.82",TCP,118.0
"23.194.108.211",TCP,118.0
"8.18.45.71",TCP,117.0
"151.101.20.134",TCP,117.0
"172.217.8.3",TCP,117.0
"38.81.32.37",TCP,117.0
"54.241.153.60",TCP,117.0
"104.88.70.158",TCP,117.0
"104.97.123.92",TCP,117.0
"93.187.67.32",TCP,117.0
"195.154.148.3",TCP,116.0
"104.19.193.102",TCP,116.0
"54.192.37.202",TCP,116.0
"104.16.126.228",TCP,116.0
"151.101.0.239",TCP,116.0
"66.235.147.236",TCP,116.0
"211.233.74.25",TCP,116.0
"138.108.7.20",TCP,116.0
"157.255.128.11",TCP,116.0
"184.28.168.70",TCP,116.0
"104.16.24.216",TCP,116.0
"104.37.178.2",TCP,115.0
