"source_ip","destination_ip","total_flags"
"192.168.10.17","72.167.239.239",161
"192.168.10.12","172.217.10.2",142
"192.168.10.17","23.50.75.27",437
"192.168.10.15","216.58.219.238",112
"192.168.10.5","108.161.188.138",202
"192.168.10.12","50.63.243.230",549
"104.88.89.135","192.168.10.25",142
"192.168.10.25","172.217.10.238",128
"192.168.10.25","54.192.37.254",302
"192.168.10.16","172.217.12.174",169
"192.168.10.15","172.217.6.206",120
"192.168.10.19","172.217.11.2",107
"192.168.10.5","172.217.12.174",115
"192.168.10.5","157.240.2.35",129
"192.168.10.14","69.172.216.56",115
"192.168.10.14","69.172.216.111",276
"192.168.10.12","157.240.18.35",123
"192.168.10.9","157.240.18.35",116
"157.240.2.25","192.168.10.17",107
"192.168.10.25","54.192.37.39",358
"192.168.10.15","172.217.10.98",123
"192.168.10.25","52.84.145.70",794
"192.168.10.9","172.217.10.66",117
"192.168.10.9","23.60.139.27",732
"192.168.10.16","104.97.117.153",103
"192.168.10.25","157.240.2.35",181
"192.168.10.14","23.60.139.27",378
"192.168.10.17","172.217.10.226",139
"192.168.10.25","191.237.32.134",140
"192.168.10.14","72.167.239.239",337
"192.168.10.8","172.217.12.174",101
"192.168.10.17","172.217.10.14",101
"192.168.10.25","173.223.152.83",2352
"192.168.10.12","31.13.80.12",126
"192.168.10.17","23.60.139.27",272
"192.168.10.12","172.217.10.66",116
"192.168.10.17","133.237.48.235",102
"104.84.148.123","192.168.10.25",346
"192.168.10.25","104.84.148.123",728
"192.168.10.12","8.27.240.125",164
"192.168.10.9","69.172.216.111",135
"192.168.10.25","104.117.69.2",142
"192.168.10.5","23.54.187.27",185
"192.168.10.17","93.184.216.180",127
"192.168.10.25","178.239.182.230",154
"192.168.10.25","23.220.41.148",184
"192.168.10.14","195.142.105.15",260
"192.168.10.25","23.36.34.56",274
"192.168.10.25","104.27.120.110",108
"192.168.10.25","23.217.38.252",192
"192.168.10.9","34.195.235.210",164
"192.168.10.9","142.4.219.35",112
"192.168.10.9","149.56.241.111",104
"192.168.10.19","112.121.107.5",148
"192.168.10.8","192.168.10.17",3922
"192.168.10.17","199.59.88.242",491
"192.168.10.17","146.148.13.21",205
"192.168.10.17","185.13.88.201",460
"192.168.10.17","192.229.173.213",109
"192.168.10.15","23.52.155.27",149
"192.168.10.9","23.52.155.27",107
"192.168.10.12","61.251.165.12",629
"192.168.10.25","61.251.165.12",291
"192.168.10.14","23.52.155.27",108
"192.168.10.9","74.117.200.68",241
"192.168.10.8","104.88.9.44",136
"192.168.10.12","69.166.1.14",122
"192.168.10.9","192.168.10.8",172
"192.168.10.25","192.168.10.8",424
"192.168.10.12","178.172.160.4",123
"192.168.10.15","178.172.160.3",158
"192.168.10.8","104.97.73.166",148
"192.168.10.8","205.174.165.73",482
"172.16.0.1","192.168.10.50",489540
"192.168.10.50","172.16.0.1",16144
"192.168.10.5","72.21.91.29",765
"192.168.10.19","192.168.10.3",372
"192.168.10.16","192.168.10.3",455
"192.168.10.51","162.213.33.50",3079
"192.168.10.9","172.217.12.174",173
"192.168.10.9","172.217.12.206",221
"192.168.10.9","178.255.83.1",1121
"192.168.10.9","172.217.11.2",108
"192.168.10.9","172.217.6.238",111
"192.168.10.9","23.50.75.27",718
"192.168.10.9","157.240.18.19",107
"192.168.10.51","23.50.75.27",392
"192.168.10.51","208.84.244.40",120
"192.168.10.14","172.217.12.174",129
"192.168.10.14","172.217.11.14",169
"192.168.10.16","192.168.10.50",1461
"192.168.10.16","72.21.91.29",842
"192.168.10.14","172.217.12.206",136
"192.168.10.12","172.217.12.206",153
"192.168.10.14","178.255.83.1",1120
"192.168.10.16","172.217.10.46",116
"192.168.10.16","157.240.2.25",200
"192.168.10.8","72.21.91.29",812
"192.168.10.12","172.217.11.14",139
"192.168.10.5","31.13.71.7",114
"192.168.10.5","72.167.239.239",233
"192.168.10.5","50.63.243.230",371
"192.168.10.12","172.217.6.238",106
"192.168.10.14","157.240.2.25",173
"192.168.10.19","192.168.10.50",1033
"192.168.10.8","162.208.20.178",804
"192.168.10.17","50.63.243.230",266
"192.168.10.9","172.217.10.238",151
"192.168.10.14","172.217.10.238",164
"192.168.10.8","31.13.71.7",104
"192.168.10.8","172.217.12.206",123
"192.168.10.25","172.217.11.46",195
"192.168.10.17","172.217.3.98",140
"192.168.10.5","172.217.3.110",103
"192.168.10.16","172.217.11.34",102
"192.168.10.25","172.217.10.99",143
"192.168.10.15","172.217.12.206",112
"192.168.10.5","172.217.10.238",175
"192.168.10.15","69.172.216.111",440
"192.168.10.15","172.217.10.34",129
"192.168.10.25","178.172.160.2",700
"192.168.10.15","63.251.98.12",105
"192.168.10.16","216.58.219.238",110
"192.168.10.16","74.119.118.94",128
"192.168.10.19","72.21.91.29",380
"192.168.10.5","172.217.12.142",152
"192.168.10.16","157.240.2.35",187
"192.168.10.9","172.217.12.162",118
"192.168.10.19","74.119.118.94",101
"192.168.10.19","157.240.2.35",140
"192.168.10.15","172.217.12.162",116
"192.168.10.15","195.142.107.70",147
"192.168.10.14","172.217.10.34",120
"192.168.10.14","172.217.12.194",108
"192.168.10.19","173.241.242.143",278
"192.168.10.14","172.217.9.226",108
"192.168.10.15","172.217.11.14",159
"192.168.10.50","198.252.206.25",182
"192.168.10.25","157.240.2.25",150
"192.168.10.25","52.84.145.136",718
"192.168.10.51","173.241.242.143",143
"192.168.10.25","172.217.12.194",160
"192.168.10.15","192.229.211.40",113
"192.168.10.19","172.217.10.2",114
"192.168.10.17","172.217.10.2",184
"192.168.10.12","172.217.11.46",125
"192.168.10.15","23.111.11.111",297
"192.168.10.5","69.166.1.14",244
"192.168.10.25","54.192.37.200",432
"192.168.10.5","68.67.178.252",118
"192.168.10.5","69.172.216.56",122
"192.168.10.15","172.217.9.238",150
"192.168.10.8","69.172.216.111",185
"192.168.10.17","31.13.71.36",105
"192.168.10.8","172.217.12.162",115
"192.168.10.8","172.217.10.238",161
"192.168.10.12","104.88.89.135",103
"192.168.10.12","23.15.155.27",236
"192.168.10.16","172.217.10.130",141
"192.168.10.25","172.217.10.35",118
"192.168.10.5","172.217.10.6",106
"192.168.10.12","172.217.12.174",116
"192.168.10.17","172.217.10.130",119
"192.168.10.17","172.217.10.66",126
"192.168.10.5","23.60.139.27",503
"192.168.10.12","172.217.12.162",101
"192.168.10.25","87.250.247.184",108
"192.168.10.25","117.27.230.185",182
"192.168.10.25","31.13.69.203",116
"192.168.10.25","151.101.208.249",106
"192.168.10.8","172.217.12.142",115
"192.168.10.12","69.172.216.111",102
"192.168.10.5","23.192.74.53",120
"192.168.10.25","172.217.6.194",180
"192.168.10.15","23.60.139.27",645
"192.168.10.51","23.60.139.27",194
"31.13.80.12","192.168.10.25",208
"173.241.242.143","192.168.10.9",109
"192.168.10.12","172.217.6.226",128
"192.168.10.8","23.208.79.206",524
"192.168.10.25","172.217.12.130",335
"192.168.10.25","23.208.26.242",130
"192.168.10.12","23.54.187.27",105
"192.168.10.25","79.127.127.5",200
"192.168.10.51","192.0.73.2",132
"192.168.10.25","160.92.49.14",108
"192.168.10.25","23.203.72.172",148
"192.168.10.25","69.147.82.60",190
"192.168.10.19","69.172.216.111",192
"172.16.0.1","192.168.10.51",3486
"192.168.10.14","195.88.54.110",192
"162.208.20.178","192.168.10.9",160
"192.168.10.25","142.0.160.53",1724
"192.168.10.14","112.121.107.5",152
"192.168.10.9","112.121.107.5",148
"192.168.10.14","205.174.165.73",228
"192.168.10.16","23.52.155.27",220
"192.168.10.17","205.185.208.154",178
"192.168.10.5","62.161.94.230",147
"192.168.10.19","67.72.99.137",954
"192.168.10.8","192.229.211.82",102
"192.168.10.14","72.5.205.22",126
"192.168.10.8","192.168.10.9",5550
"192.168.10.16","192.168.10.8",234
"192.168.10.19","192.168.10.8",215
"192.168.10.8","192.168.10.25",6162
"192.168.10.51","192.168.10.8",256
"192.168.10.8","192.168.10.51",3756
"192.168.10.17","178.172.160.3",125
"192.168.10.16","61.251.165.12",192
"192.168.10.15","162.208.20.178",305
"192.168.10.12","8.43.72.32",180
"192.168.10.5","162.208.20.178",3717
"162.208.20.178","192.168.10.5",2224
"192.168.10.19","27.0.237.143",135
"192.168.10.19","192.229.163.97",117
"192.168.10.5","192.168.10.3",601
"192.168.10.5","172.217.6.206",164
"192.168.10.15","192.168.10.3",422
"192.168.10.17","192.168.10.3",342
"192.168.10.14","23.61.187.27",340
"192.168.10.14","23.50.75.27",824
"192.168.10.25","172.217.12.206",130
"192.168.10.12","192.168.10.50",1482
"192.168.10.16","178.255.83.1",1185
"192.168.10.16","63.251.98.12",104
"192.168.10.16","172.217.11.2",134
"192.168.10.16","173.241.242.143",327
"192.168.10.9","172.217.11.14",140
"192.168.10.9","172.104.46.66",108
"192.168.10.5","172.217.7.2",106
"192.168.10.25","104.97.91.19",324
"104.97.91.19","192.168.10.25",108
"192.168.10.5","63.251.98.12",264
"192.168.10.5","69.172.216.111",211
"192.168.10.14","172.217.6.238",113
"192.168.10.16","172.217.6.206",113
"192.168.10.5","172.217.11.14",118
"192.168.10.16","72.167.239.239",333
"192.168.10.8","178.255.83.1",849
"192.168.10.8","72.167.239.239",343
"192.168.10.15","192.168.10.50",1004
"192.168.10.17","192.168.10.50",1064
"192.168.10.8","50.63.243.230",436
"192.168.10.8","199.244.48.50",468
"192.168.10.17","178.255.83.1",640
"192.168.10.17","23.61.187.27",346
"192.168.10.15","172.217.10.238",153
"192.168.10.8","23.61.187.27",326
"192.168.10.25","172.217.6.226",120
"192.168.10.9","172.217.6.226",116
"192.168.10.8","172.217.3.98",201
"192.168.10.51","69.172.216.111",182
"192.168.10.51","172.217.6.226",126
"192.168.10.9","172.217.3.110",133
"192.168.10.19","23.61.187.27",226
"192.168.10.15","69.172.216.55",274
"192.168.10.15","31.13.80.12",125
"192.168.10.25","178.172.160.5",455
"192.168.10.15","72.167.239.239",288
"192.168.10.14","172.217.12.142",150
"192.168.10.17","172.217.12.174",117
"192.168.10.25","172.217.10.34",129
"192.168.10.15","23.61.187.27",392
"192.168.10.15","157.240.2.35",184
"192.168.10.12","172.217.9.238",132
"192.168.10.12","172.217.10.34",103
"192.168.10.5","172.217.9.238",107
"192.168.10.19","157.240.2.25",231
"192.168.10.14","172.217.9.238",139
"192.168.10.25","52.84.145.65",654
"192.168.10.25","52.84.145.207",998
"192.168.10.16","69.172.216.55",228
"192.168.10.25","52.84.145.164",746
"192.168.10.25","72.247.69.199",354
"192.168.10.9","172.217.10.46",111
"192.168.10.8","157.240.2.35",183
"192.168.10.16","23.61.187.27",347
"192.168.10.16","172.217.10.2",110
"192.168.10.12","157.240.2.35",149
"192.168.10.15","172.217.10.142",114
"192.168.10.12","23.61.187.27",397
"192.168.10.12","172.217.10.14",115
"192.168.10.14","172.217.10.142",108
"192.168.10.14","172.217.10.14",150
"192.168.10.8","172.217.11.34",132
"192.168.10.8","172.217.9.238",158
"192.168.10.5","69.166.1.11",106
"192.168.10.5","162.208.22.34",3006
"192.168.10.17","172.217.9.238",121
"192.168.10.9","31.13.71.7",109
"192.168.10.17","173.241.242.220",161
"192.168.10.17","31.13.80.12",128
"192.168.10.25","54.192.37.69",281
"192.168.10.19","93.184.216.180",149
"192.168.10.5","23.15.4.24",105
"192.168.10.14","157.240.2.35",158
"192.168.10.25","172.217.10.142",115
"192.168.10.16","172.217.9.238",192
"192.168.10.14","162.248.16.28",101
"192.168.10.17","157.240.2.25",284
"192.168.10.17","157.240.2.35",169
"192.168.10.17","151.101.1.108",108
"192.168.10.19","72.167.239.239",121
"192.168.10.17","173.241.242.143",253
"192.168.10.17","74.119.118.74",107
"192.168.10.9","172.217.10.14",136
"192.168.10.14","172.217.12.162",136
"192.168.10.14","172.217.3.110",121
"192.168.10.25","54.192.37.17",390
"192.168.10.16","172.217.12.130",149
"192.168.10.12","63.251.98.12",124
"192.168.10.5","96.16.193.174",264
"173.223.152.83","192.168.10.25",1322
"192.168.10.5","172.217.10.134",178
"192.168.10.15","172.217.10.14",121
"192.168.10.5","172.217.12.134",104
"192.168.10.25","172.217.6.238",134
"192.168.10.5","172.217.12.130",110
"192.168.10.25","52.84.145.229",120
"192.168.10.12","172.217.10.46",115
"192.168.10.51","93.184.216.180",119
"192.168.10.51","172.217.3.98",145
"192.168.10.12","172.217.12.142",105
"192.168.10.8","172.217.10.66",123
"192.168.10.25","23.194.142.21",142
"23.220.41.148","192.168.10.25",112
"192.168.10.25","23.208.89.161",104
"192.168.10.19","172.217.6.194",121
"192.168.10.51","23.208.101.123",104
"192.168.10.25","23.208.79.80",154
"192.168.10.8","95.163.95.169",102
"192.168.10.9","162.208.20.178",718
"192.168.10.9","8.41.222.134",308
"192.168.10.9","54.86.16.198",104
"192.168.10.9","34.196.187.65",138
"192.168.10.14","112.121.107.6",172
"192.168.10.9","112.121.107.6",184
"192.168.10.17","112.121.107.5",186
"192.168.10.14","192.229.211.40",114
"192.168.10.5","205.174.165.73",214
"192.168.10.9","205.174.165.73",231
"192.168.10.8","23.52.155.27",145
"192.168.10.14","162.208.20.178",288
"192.168.10.25","203.154.100.144",222
"192.168.10.25","104.31.91.87",238
"192.168.10.15","61.251.165.12",144
"192.168.10.14","97.64.84.112",260
"192.168.10.8","192.168.10.14",8138
"192.168.10.8","192.168.10.15",8137
"192.168.10.8","192.168.10.16",3882
"192.168.10.17","192.168.10.8",194
"192.168.10.8","192.168.10.19",3900
"192.168.10.17","204.15.8.12",180
"192.168.10.17","204.15.8.11",318
"192.168.10.25","107.154.79.224",145
"192.168.10.9","211.233.74.132",119
"192.168.10.25","151.101.209.127",199
"192.168.10.8","162.208.22.34",179
"192.168.10.19","113.29.189.10",271
"192.168.10.19","103.27.148.71",109
"192.168.10.19","61.251.98.135",131
"192.168.10.3","192.168.10.50",184
"192.168.10.14","64.4.54.254",106
"192.168.10.51","178.255.83.1",435
"192.168.10.51","50.63.243.230",248
"192.168.10.51","23.61.187.27",146
"192.168.10.9","192.168.10.50",1074
"192.168.10.9","72.167.239.239",256
"192.168.10.9","205.180.85.169",115
"192.168.10.25","192.168.10.50",1269
"192.168.10.51","157.240.2.35",105
"192.168.10.14","192.168.10.50",1134
"192.168.10.16","172.217.12.206",180
"192.168.10.5","23.50.75.27",465
"192.168.10.14","173.241.242.143",195
"192.168.10.25","172.217.11.14",159
"192.168.10.16","50.63.243.230",510
"192.168.10.8","157.240.2.25",191
"192.168.10.8","172.217.10.142",132
"192.168.10.5","178.255.83.1",789
"192.168.10.25","104.88.89.135",259
"192.168.10.8","172.217.11.14",114
"192.168.10.5","172.217.12.206",187
"192.168.10.9","23.61.187.27",391
"192.168.10.25","157.240.18.19",211
"192.168.10.16","172.217.10.238",167
"192.168.10.17","72.21.91.29",538
"192.168.10.16","172.217.6.226",175
"192.168.10.17","157.240.18.19",106
"192.168.10.15","172.217.3.110",129
"192.168.10.15","173.241.242.143",163
"192.168.10.16","172.217.11.46",116
"192.168.10.51","74.119.118.94",106
"192.168.10.9","74.119.118.94",113
"192.168.10.19","50.63.243.230",321
"192.168.10.25","172.217.6.206",141
"192.168.10.9","31.13.80.12",127
"192.168.10.12","157.240.2.25",203
"192.168.10.12","172.217.6.206",122
"192.168.10.15","172.217.12.194",118
"192.168.10.17","172.217.12.194",102
"192.168.10.25","172.217.10.46",133
"192.168.10.25","52.84.145.135",628
"192.168.10.5","72.167.18.239",119
"192.168.10.16","172.217.3.110",141
"72.247.69.199","192.168.10.25",130
"192.168.10.9","157.240.2.25",138
"192.168.10.25","52.84.145.252",648
"192.168.10.15","157.240.2.25",180
"192.168.10.17","151.101.0.249",103
"192.168.10.16","172.217.3.98",109
"192.168.10.12","157.240.18.19",118
"192.168.10.12","173.241.242.143",347
"192.168.10.9","173.241.242.143",256
"192.168.10.5","157.240.2.25",153
"192.168.10.5","8.43.72.112",384
"192.168.10.17","172.217.12.162",210
"192.168.10.25","31.13.80.12",423
"192.168.10.12","23.50.75.27",517
"192.168.10.25","54.192.37.234",320
"192.168.10.16","172.217.12.194",137
"192.168.10.25","104.24.29.35",132
"192.168.10.25","52.84.145.117",758
"192.168.10.16","23.194.141.179",111
"192.168.10.9","172.217.6.206",128
"192.168.10.12","173.241.242.220",234
"192.168.10.16","69.172.216.111",399
"192.168.10.14","69.172.216.55",128
"192.168.10.5","151.101.2.2",145
"192.168.10.12","199.96.57.6",101
"192.168.10.25","172.217.9.226",112
"192.168.10.17","8.247.89.217",148
"192.168.10.17","31.13.71.7",160
"192.168.10.12","74.119.118.94",110
"192.168.10.19","172.217.12.194",126
"192.168.10.14","74.119.118.94",123
"192.168.10.16","172.217.10.226",118
"192.168.10.12","172.217.3.110",148
"192.168.10.25","117.27.230.186",168
"192.168.10.25","52.84.145.201",148
"192.168.10.25","54.192.37.158",527
"192.168.10.8","23.60.139.27",478
"192.168.10.12","23.60.139.27",561
"192.168.10.5","192.73.243.115",108
"192.168.10.15","172.217.12.174",116
"192.168.10.5","23.15.4.11",216
"192.168.10.9","172.217.12.130",152
"192.168.10.15","172.217.12.130",204
"192.168.10.8","172.217.10.6",125
"192.168.10.8","213.239.195.215",229
"192.168.10.16","23.60.139.27",396
"192.168.10.19","23.60.139.27",281
"192.168.10.12","192.229.211.82",168
"104.88.66.118","192.168.10.25",418
"192.168.10.25","104.88.66.118",1074
"192.168.10.17","172.104.52.34",130
"192.168.10.8","23.54.187.27",186
"192.168.10.16","23.54.187.27",162
"192.168.10.15","23.54.187.27",227
"192.168.10.19","148.251.76.202",164
"192.168.10.16","151.101.0.249",108
"192.168.10.51","95.163.95.169",104
"192.168.10.8","172.217.12.130",107
"69.147.82.60","192.168.10.25",110
"192.168.10.25","173.241.242.143",146
"192.168.10.14","172.217.12.130",107
"192.168.10.12","172.217.12.130",118
"192.168.10.14","104.97.74.19",113
"192.168.10.16","95.163.94.239",104
"192.168.10.25","192.124.249.5",126
"192.168.10.51","172.16.0.1",5448
"192.168.10.25","104.27.121.110",130
"23.217.38.252","192.168.10.25",110
"192.168.10.17","192.83.254.182",248
"192.168.10.15","104.97.137.120",101
"192.168.10.9","191.96.128.59",142
"192.168.10.14","125.212.216.123",294
"192.168.10.19","112.121.107.6",172
"192.168.10.17","112.121.107.6",174
"192.168.10.14","23.194.140.43",104
"162.208.22.34","192.168.10.5",1449
"192.168.10.15","205.174.165.73",456
"192.168.10.16","199.244.48.55",488
"192.168.10.17","151.101.21.127",781
"192.168.10.17","198.72.112.8",221
"192.168.10.17","199.167.65.25",810
"151.101.21.127","192.168.10.17",391
"192.168.10.12","119.205.194.11",153
"192.168.10.8","199.244.49.56",496
"192.168.10.5","211.233.74.132",122
"192.168.10.8","192.168.10.5",12130
"192.168.10.8","192.168.10.12",3849
"192.168.10.12","192.168.10.8",267
"192.168.10.51","162.213.33.48",708
"192.168.10.8","87.106.49.27",104
"192.168.10.8","199.244.48.54",107
"192.168.10.19","117.53.117.16",146
"192.168.10.19","113.29.190.10",167
