Destination_IP,Destination_Port
192.168.10.9,1065
91.236.51.69,443
91.221.199.170,443
74.125.29.108,465
69.28.187.147,443
192.168.10.9,1080
192.168.10.9,1077
192.168.10.9,1078
192.168.10.9,1082
192.168.10.9,1083
69.28.157.216,443
192.168.10.9,1097
192.168.10.9,1098
192.168.10.9,1094
192.168.10.9,1099
192.168.10.9,1095
192.168.10.9,1100
172.217.12.174,443
192.168.10.9,1113
66.235.147.238,443
192.168.10.9,1111
136.179.236.67,443
104.118.221.147,443
192.168.10.9,1075
192.168.10.9,1076
192.168.10.9,1120
52.11.17.245,443
192.168.10.9,1085
136.179.236.72,443
192.168.10.9,1093
192.168.10.9,1084
192.168.10.3,53
172.217.12.206,80
104.88.66.182,443
54.192.37.143,443
54.192.37.217,443
192.168.10.9,1108
72.167.239.239,80
216.104.218.66,443
192.168.10.9,1150
139.61.74.125,443
172.217.12.206,443
192.168.10.9,1140
159.127.42.204,443
68.67.178.138,443
95.142.19.2,443
23.203.29.206,443
23.194.140.87,443
192.168.10.9,1128
192.168.10.9,1123
192.168.10.9,1127
74.121.138.59,443
72.30.3.43,443
54.225.202.195,443
172.217.11.2,443
54.192.36.242,443
172.217.3.98,443
192.168.10.9,1242
192.168.10.9,1275
192.168.10.9,1276
172.217.6.238,443
23.194.141.128,443
31.13.80.2,443
173.194.66.154,443
23.50.75.27,80
54.192.36.252,443
192.168.10.9,1279
199.16.156.232,443
23.23.215.55,443
8.18.45.65,443
192.168.10.9,1284
192.168.10.9,1153
192.168.10.9,1149
192.82.242.50,443
192.168.10.9,1281
172.217.11.3,443
192.168.10.9,1152
152.163.56.2,443
192.168.10.9,1309
63.251.98.12,443
192.168.10.9,1287
107.178.240.89,443
34.192.94.202,443
149.174.28.142,443
192.168.10.9,1170
192.168.10.9,1171
192.168.10.9,1169
192.168.10.9,1173
192.168.10.9,1175
192.168.10.9,1194
98.139.225.35,443
34.224.19.173,443
104.88.14.9,443
50.16.233.31,443
192.168.10.9,1216
198.51.152.179,443
192.168.10.9,1204
192.168.10.9,1217
192.168.10.9,1209
192.168.10.9,1206
192.168.10.9,1073
23.21.62.104,443
65.55.163.221,443
23.23.100.193,443
52.1.161.171,443
54.192.36.242,80
192.168.10.9,1247
192.168.10.9,1248
192.168.10.9,1233
65.52.108.136,443
50.19.250.40,443
151.101.208.84,443
192.168.10.9,1256
192.168.10.9,1176
192.168.10.9,1257
192.168.10.9,1259
68.67.178.243,443
159.127.42.108,443
209.85.144.155,443
34.192.244.185,443
23.208.101.109,443
23.194.141.179,443
184.73.242.43,443
216.200.232.114,443
192.168.10.9,1317
192.168.10.9,1320
192.168.10.9,1323
192.168.10.9,1321
192.168.10.9,1315
184.73.198.130,443
192.168.10.9,1339
34.197.163.181,443
192.168.10.9,1353
63.251.88.56,443
208.81.233.32,443
192.168.10.9,1373
91.236.51.134,443
192.168.10.9,1397
50.116.194.23,443
192.168.10.9,1146
192.168.10.9,1133
192.168.10.9,1129
199.38.164.54,443
205.180.85.169,443
204.2.197.202,443
87.240.165.80,443
69.169.85.6,443
52.86.21.54,443
54.200.60.113,443
192.168.10.9,1335
192.168.10.9,1333
192.168.10.9,1334
107.178.254.65,443
61.213.187.244,443
192.168.10.9,1464
54.164.184.124,443
192.168.10.9,1474
54.87.174.207,443
204.79.197.200,443
169.60.66.39,443
23.65.237.248,443
69.169.86.39,443
192.168.10.9,1348
192.168.10.9,1361
192.138.218.96,443
207.244.76.83,443
162.208.22.39,443
35.186.222.181,443
192.168.10.9,1507
208.185.50.25,443
74.119.118.67,443
207.186.149.230,443
52.9.151.173,443
52.86.69.211,443
173.222.141.21,80
54.85.60.174,443
23.21.91.46,443
192.168.10.9,1386
192.168.10.9,1365
192.168.10.9,1380
192.168.10.9,1379
192.168.10.9,1362
192.168.10.9,1372
192.168.10.9,1378
192.168.10.9,1393
142.0.198.20,443
141.170.25.54,443
192.168.10.9,1523
172.217.12.194,443
54.208.155.196,443
184.86.217.145,443
129.146.13.101,443
52.200.51.46,443
52.216.226.128,443
192.168.10.9,1401
192.168.10.9,1400
192.168.10.9,1420
192.168.10.9,1395
192.168.10.9,1417
192.168.10.9,1399
192.168.10.51,46980
52.203.228.20,443
38.106.10.132,443
204.11.109.66,443
23.23.155.236,443
40.113.120.215,443
54.82.12.188,443
192.168.10.9,1432
192.168.10.9,1423
192.168.10.9,1433
192.168.10.9,1436
38.65.9.50,443
34.225.206.80,443
207.171.14.249,443
54.212.249.23,443
54.192.37.189,443
192.168.10.9,1454
192.168.10.9,1466
192.168.10.9,1452
192.168.10.9,1450
23.194.141.143,80
34.199.97.28,443
38.72.130.133,443
192.168.10.9,1492
95.85.8.11,443
52.87.58.19,443
192.168.10.9,1487
192.168.10.9,1572
178.33.228.115,443
54.243.150.53,443
52.22.170.157,443
148.251.48.245,443
54.165.34.46,443
192.168.10.9,1500
192.168.10.9,1499
192.168.10.9,1506
104.88.12.52,443
52.38.107.138,443
192.168.10.9,1599
52.1.175.140,443
192.168.10.9,1605
5.150.170.6,443
52.72.11.222,443
52.45.19.200,443
5.39.44.193,443
74.205.98.206,443
199.187.193.140,443
192.168.10.9,1531
192.168.10.9,1529
192.168.10.9,1539
192.168.10.9,1537
23.203.70.142,443
192.168.10.9,1612
192.168.10.9,1535
192.168.10.9,1544
108.61.16.189,443
98.138.49.44,443
185.19.219.27,443
34.199.153.133,443
192.168.10.9,1558
192.168.10.9,1563
173.231.178.115,443
209.15.36.22,443
52.20.22.149,443
34.194.227.0,443
54.225.133.240,443
192.168.10.14,49479
192.168.10.9,1570
192.168.10.9,1581
52.71.208.172,443
23.23.137.33,443
54.192.37.119,443
52.34.134.65,443
34.198.153.163,443
192.168.10.9,1587
192.168.10.9,1583
192.168.10.9,1588
192.168.10.9,1591
192.168.10.9,1592
52.87.162.133,443
54.173.13.65,443
23.194.182.63,80
192.33.252.6,443
23.194.141.237,443
23.20.247.15,443
192.168.10.9,1607
192.168.10.9,1603
192.168.10.9,1617
23.194.141.101,80
195.54.48.9,443
52.11.31.31,443
192.168.10.9,1629
192.168.10.9,1626
192.168.10.255,8612
192.168.10.255,8610
192.168.10.50,139
54.65.100.239,443
192.168.10.19,137
192.168.10.17,137
52.10.50.117,443
206.126.112.141,443
192.168.10.9,1634
192.168.10.51,48230
52.203.75.33,443
52.87.113.109,443
34.198.74.17,443
54.225.241.175,443
52.73.40.4,443
192.168.10.51,48257
192.168.10.51,48256
75.101.141.254,443
192.168.10.9,1211
50.19.239.212,443
54.225.169.245,443
192.168.10.51,48259
129.146.13.97,443
35.185.39.208,443
54.165.163.96,443
192.168.10.9,1358
54.210.25.155,443
52.6.24.26,443
176.34.120.132,443
192.168.10.9,1431
157.240.2.35,443
52.1.216.93,443
74.217.253.61,443
54.210.27.11,443
192.168.10.9,1461
52.86.68.253,443
52.202.233.245,443
52.73.178.249,443
64.94.190.52,443
192.168.10.51,53235
192.168.10.51,43533
54.241.184.126,443
52.55.225.127,443
23.23.243.116,443
52.4.24.89,443
65.55.44.109,443
34.197.132.200,443
52.4.13.66,443
192.168.10.9,1187
192.168.10.9,1184
52.192.219.100,443
104.88.7.7,443
8.254.242.142,80
8.253.104.142,80
23.50.69.163,80
104.88.33.160,443
40.80.145.27,80
192.168.10.14,49460
192.168.10.14,49458
192.168.10.12,137
23.194.181.138,80
66.61.168.121,80
192.168.10.51,48264
192.168.10.51,48263
192.168.10.51,48262
192.168.10.51,48266
54.69.41.35,443
192.168.10.9,1103
192.168.10.16,137
198.41.214.186,80
54.192.37.132,443
104.16.126.228,443
192.168.10.9,1114
192.168.10.9,1122
192.168.10.9,1142
192.168.10.9,1131
192.168.10.9,1087
192.168.10.9,1145
173.222.140.253,443
152.163.50.2,443
8.18.45.80,443
192.168.10.9,1181
192.168.10.9,1155
192.168.10.9,1154
23.23.187.141,443
54.192.37.144,443
104.88.40.28,443
104.16.67.157,443
192.168.10.9,1224
192.168.10.9,1244
192.168.10.9,1255
192.168.10.9,1225
69.192.31.2,443
209.48.71.168,80
23.194.140.241,443
192.168.10.9,1285
31.13.80.36,443
151.101.20.166,443
192.168.10.9,1330
64.12.245.38,443
192.168.10.9,1338
192.168.10.9,1340
23.96.179.163,443
192.168.10.9,1349
192.168.10.9,1351
8.43.72.21,443
192.168.10.9,1388
192.168.10.9,1322
23.203.90.49,443
192.168.10.9,1394
17.253.20.125,123
192.168.10.9,1425
192.168.10.9,1458
192.168.10.9,1453
192.168.10.9,1434
192.168.10.9,1495
104.88.96.174,443
172.217.9.234,443
34.211.94.203,443
54.230.36.137,443
192.168.10.9,1540
192.168.10.9,1536
192.168.10.9,1647
192.168.10.9,1585
104.88.41.68,443
174.137.133.48,443
192.168.10.9,1621
192.168.10.9,1604
54.230.37.182,443
204.93.43.35,80
72.21.81.200,443
23.194.142.4,443
192.168.10.14,49491
192.168.10.9,1116
152.195.33.25,443
192.168.10.9,1079
192.168.10.9,1134
172.217.7.196,443
104.16.24.235,443
151.101.22.2,443
192.168.10.9,1239
192.168.10.9,1102
192.168.10.9,1246
192.168.10.9,1294
192.168.10.9,1229
192.168.10.9,1260
192.168.10.9,1273
192.168.10.9,1115
192.168.10.9,1297
192.168.10.9,1324
192.168.10.9,1112
192.168.10.9,1268
52.32.196.244,443
198.211.102.46,443
107.178.244.119,443
192.168.10.9,1283
192.168.10.9,1414
192.168.10.9,1412
192.168.10.9,1473
192.168.10.9,1463
63.234.248.185,80
52.200.32.122,443
192.168.10.9,1508
192.168.10.9,1249
192.168.10.9,1567
192.168.10.25,49172
172.217.3.110,443
192.168.10.25,49173
173.194.66.155,443
192.168.10.25,49183
208.84.244.99,443
192.168.10.51,49879
208.43.229.188,443
192.168.10.51,35971
192.168.10.51,47178
23.194.141.170,443
192.168.10.51,37912
192.168.10.51,37911
173.194.66.156,443
208.84.244.40,443
192.168.10.51,57443
138.108.7.20,80
172.217.9.238,443
208.43.229.186,443
31.13.71.7,443
192.168.10.51,39837
208.185.50.20,443
208.185.50.70,443
208.185.50.40,443
192.168.10.3,0
172.217.10.226,443
172.217.10.6,443
192.168.10.51,57660
200.147.166.104,443
172.217.10.130,443
192.168.10.51,60094
200.147.166.107,443
192.168.10.51,57456
192.168.10.9,1632
23.208.80.169,443
192.168.10.25,49176
192.168.10.25,49178
23.208.107.108,443
172.217.7.228,443
104.17.161.9,443
104.17.37.113,443
104.17.162.9,443
172.217.7.163,443
172.217.10.40,443
192.168.10.25,49177
192.168.10.25,49182
192.168.10.25,49184
192.168.10.9,1644
192.168.10.9,1645
52.11.164.190,443
52.25.103.117,443
192.168.10.51,41955
192.168.10.51,41954
192.168.10.51,41956
192.168.10.9,1650
192.168.10.9,1649
192.168.10.9,1636
104.88.29.71,443
192.168.10.9,1648
35.164.147.83,443
192.168.10.9,1661
192.168.10.50,39445
192.168.10.14,49497
192.168.10.14,49496
192.168.10.9,1653
104.16.24.216,80
34.196.233.203,443
54.210.231.110,443
52.203.122.42,443
52.4.118.23,443
192.168.10.51,57477
125.6.146.14,443
192.168.10.9,1672
192.168.10.9,1671
192.168.10.14,49509
173.194.207.109,465
54.192.37.14,443
151.101.208.193,80
163.172.224.31,443
192.168.10.14,49569
163.172.224.33,443
192.168.10.14,49543
192.168.10.14,49570
192.168.10.14,49568
163.172.224.36,443
163.172.224.34,443
192.168.10.14,49541
163.172.224.35,443
163.172.224.32,443
23.210.202.27,80
104.28.12.116,80
208.70.188.94,443
54.192.233.88,80
78.140.191.94,80
172.217.11.14,80
104.16.26.216,80
208.84.244.103,443
91.189.95.83,80
91.189.91.23,80
91.189.88.162,80
199.16.156.52,443
192.168.10.14,49592
63.251.240.12,80
52.216.32.91,443
206.54.163.50,80
52.216.0.8,80
172.217.10.130,80
40.77.232.95,443
144.76.203.221,80
68.67.180.45,80
13.68.87.47,443
199.233.57.17,80
138.201.227.192,80
64.4.54.18,443
192.168.10.51,57478
192.168.10.5,49198
134.170.51.247,443
131.253.61.68,443
23.194.140.10,80
192.168.10.50,10042
192.168.10.16,38126
192.168.10.16,53770
40.117.145.132,443
192.168.10.51,57484
136.243.6.169,80
192.168.10.51,37901
208.84.244.116,443
172.217.11.10,443
216.58.219.225,443
104.88.89.135,443
23.203.93.172,443
192.168.10.51,37933
192.168.10.51,37894
104.28.6.120,80
216.58.219.226,443
35.167.184.4,443
192.168.10.16,33014
172.217.6.230,443
23.194.180.207,443
23.194.142.60,443
192.168.10.51,53864
192.168.10.51,37889
192.168.10.51,37887
192.168.10.51,37881
192.168.10.51,37893
192.168.10.51,37890
54.192.37.5,443
192.168.10.51,37900
192.168.10.51,37891
192.168.10.51,37883
192.168.10.51,37880
151.101.208.68,443
192.168.10.51,37886
192.168.10.51,37888
192.168.10.51,37878
192.168.10.51,50897
192.168.10.5,49196
192.168.10.14,49631
34.210.63.234,443
192.168.10.14,49634
172.217.11.33,443
172.217.12.170,443
35.157.188.223,80
35.160.9.151,443
192.168.10.14,49583
192.168.10.51,52913
192.168.10.9,1660
192.168.10.51,43738
129.146.14.98,80
54.192.37.41,443
54.192.37.172,443
192.168.10.9,1659
192.168.10.9,1665
13.107.4.50,80
192.168.10.14,49617
192.168.10.51,57486
192.168.10.14,49612
23.217.36.24,443
192.168.10.14,49615
64.4.54.22,80
40.80.145.78,80
165.254.0.104,80
173.194.204.108,465
192.168.10.50,27606
192.168.10.5,49221
192.168.10.51,53991
192.168.10.51,59053
192.168.10.51,35849
91.189.92.152,80
192.168.10.51,43747
91.189.88.152,80
23.210.202.42,80
54.192.36.108,443
192.168.10.14,49515
52.94.234.174,80
54.192.36.132,443
50.112.201.212,443
192.168.10.14,49518
172.217.12.170,80
172.217.12.202,80
172.217.10.3,80
192.168.10.51,39838
192.168.10.51,53328
52.84.145.199,443
52.36.207.192,443
192.168.10.5,49236
103.203.138.103,443
192.229.163.25,80
192.229.163.25,443
192.168.10.14,49585
31.13.69.228,443
104.97.95.20,443
192.168.10.14,49648
23.194.182.11,443
192.168.10.14,49650
52.184.152.136,443
192.168.10.50,42542
192.168.10.51,45855
192.168.10.51,50076
104.76.108.221,80
52.216.85.85,443
192.168.10.51,43752
54.187.228.155,443
192.168.10.51,35858
192.168.10.51,59062
192.168.10.8,49189
192.168.10.8,49197
192.168.10.8,49198
23.15.4.9,80
184.25.102.75,80
192.168.10.8,49196
104.16.125.228,443
192.168.10.9,1682
192.168.10.14,49666
192.168.10.14,49668
104.28.12.116,443
192.168.10.51,43758
23.217.25.139,443
192.168.10.14,49643
54.213.76.99,443
192.168.10.5,49252
192.168.10.5,49251
192.168.10.14,49506
172.217.10.10,443
192.168.10.51,35864
172.217.6.228,443
65.52.108.90,443
192.168.10.14,49669
192.168.10.14,49537
192.168.10.14,49517
192.168.10.50,23133
192.168.10.12,49958
173.194.204.109,465
192.168.10.12,50050
192.168.10.14,49579
50.23.217.152,443
23.37.43.27,80
192.168.10.14,49587
192.168.10.14,49591
35.160.100.86,443
192.168.10.51,49453
212.48.7.146,80
23.111.10.140,80
37.9.239.37,443
212.48.7.24,443
212.48.7.146,443
192.168.10.51,52617
23.111.10.148,80
192.168.10.51,50908
216.58.219.194,443
74.119.118.74,443
192.168.10.51,53130
138.108.6.20,443
184.72.240.196,80
192.168.10.12,47724
212.48.7.145,80
34.192.19.190,80
192.168.10.51,43798
107.170.13.213,80
23.194.181.174,443
23.194.181.73,80
212.48.10.169,443
129.146.14.99,443
172.217.11.34,443
192.168.10.14,49737
208.81.233.49,80
52.84.145.172,443
156.154.200.36,80
69.192.24.87,80
172.217.3.106,80
104.88.4.88,80
23.66.191.194,80
207.223.3.173,80
54.192.37.243,80
216.58.219.194,80
23.8.100.19,80
108.168.172.162,80
184.28.197.240,80
54.152.242.220,80
23.194.181.54,80
192.168.10.14,49727
104.154.130.226,443
192.168.10.14,49825
192.168.10.14,49824
13.82.187.188,443
151.101.46.49,443
192.168.10.14,49828
54.192.36.89,80
104.88.108.223,80
54.236.179.153,80
54.146.224.83,80
151.101.22.2,80
151.101.44.175,80
192.168.10.14,49748
54.88.227.100,80
192.168.10.14,49857
208.81.233.32,80
23.15.4.16,80
192.243.250.84,80
192.168.10.14,49775
192.168.10.14,49869
172.217.12.163,443
192.168.10.14,49878
192.168.10.14,49874
192.168.10.51,57519
72.21.92.20,80
52.84.143.97,80
54.243.80.169,80
207.200.74.133,80
23.217.32.120,80
192.168.10.14,49781
72.5.205.11,80
72.5.205.15,80
54.192.37.53,443
192.168.10.14,49934
192.168.10.14,49932
172.217.11.33,80
72.5.205.59,80
54.241.244.90,80
54.192.37.73,80
63.241.108.104,443
50.18.168.195,80
23.203.29.205,80
192.168.10.14,49826
216.58.212.195,443
104.20.16.243,80
34.202.145.155,80
52.45.120.97,80
68.67.178.246,443
52.202.22.255,443
192.168.10.14,49850
192.168.10.14,49984
23.208.217.99,80
72.21.206.140,80
52.202.22.255,80
209.48.71.138,80
68.67.178.184,443
192.168.10.14,49884
23.23.164.82,80
23.23.164.82,443
72.21.202.62,80
104.20.15.243,80
52.55.152.154,443
23.67.1.104,443
151.101.44.175,443
192.168.10.14,49902
192.168.10.14,49914
192.168.10.14,49888
192.168.10.14,49892
192.168.10.14,49907
192.168.10.14,49896
172.217.10.46,443
52.94.233.131,80
69.169.85.6,80
209.48.71.120,80
52.84.134.65,443
192.168.10.14,49937
34.196.96.128,80
162.208.22.39,80
23.15.4.11,80
68.67.178.246,80
69.169.85.7,80
161.170.236.122,80
52.84.64.84,80
192.168.10.14,49950
192.168.10.14,49942
72.30.2.182,80
68.67.178.252,443
23.15.4.18,80
185.54.150.20,443
54.84.166.42,80
52.20.82.82,80
192.243.250.36,443
192.243.250.36,80
192.168.10.16,60676
192.168.10.14,50018
192.168.10.14,50017
192.168.10.14,50015
192.168.10.14,50016
192.168.10.14,50014
68.67.178.111,80
63.251.210.247,80
192.168.10.16,53746
192.168.10.14,49774
198.8.70.212,80
204.13.192.211,80
54.146.224.83,443
54.149.95.48,443
192.168.10.51,43815
164.100.222.71,443
192.168.10.5,49233
72.30.3.43,80
192.243.232.58,443
192.243.232.58,80
192.168.10.14,50013
192.168.10.14,50003
192.168.10.14,50004
192.168.10.14,50001
192.168.10.14,50002
192.168.10.14,50000
192.168.10.5,49234
192.168.10.5,49232
192.168.10.5,49243
192.168.10.5,49235
192.168.10.14,50005
192.168.10.5,49229
104.27.145.213,80
216.3.50.19,80
192.168.10.14,49678
192.168.10.14,49676
192.168.10.14,49691
192.168.10.14,49693
173.241.242.143,80
212.48.7.145,443
192.168.10.51,57575
52.203.85.113,443
52.41.230.224,443
35.165.158.113,443
54.210.245.188,443
192.168.10.51,43824
52.86.68.110,443
37.9.239.33,443
208.111.171.216,443
192.168.10.16,54610
192.168.10.16,54620
192.168.10.16,54616
192.168.10.16,54614
192.168.10.16,54612
208.111.178.163,443
192.168.10.16,57754
192.168.10.16,57756
192.168.10.16,57758
192.168.10.16,57760
129.146.14.96,443
192.168.10.16,57762
192.168.10.16,54646
192.168.10.16,57764
192.168.10.16,54666
192.168.10.16,54664
192.168.10.16,54660
192.168.10.16,54658
192.168.10.16,54662
159.127.42.76,443
23.194.181.73,443
192.168.10.16,37204
192.168.10.16,39294
192.168.10.16,57208
104.97.83.186,443
23.194.108.119,443
192.168.10.16,57574
192.168.10.16,34186
157.240.2.25,443
52.86.189.192,80
31.13.71.2,443
172.217.7.2,443
104.16.23.235,443
192.168.10.16,48076
54.210.75.202,443
52.45.225.183,80
54.243.185.52,443
52.84.143.134,443
192.168.10.16,53694
74.125.192.154,443
192.168.10.16,50148
192.168.10.16,38882
34.204.222.123,80
104.16.25.216,80
23.66.246.24,443
54.81.194.174,443
192.168.10.16,51090
192.168.10.16,51088
192.168.10.16,36410
192.168.10.16,36442
192.168.10.16,36412
192.168.10.16,52060
192.168.10.16,46808
152.163.13.6,443
192.168.10.16,35520
192.168.10.16,52764
192.168.10.16,52766
192.168.10.16,40528
192.168.10.16,59008
192.168.10.16,59006
192.168.10.16,52778
192.168.10.16,52776
54.225.147.109,443
162.248.16.28,443
34.193.205.158,443
192.168.10.16,57488
192.168.10.16,52376
192.168.10.16,52374
192.168.10.16,36500
192.168.10.16,57206
192.168.10.16,59884
151.101.2.2,443
192.168.10.16,52166
104.196.211.144,443
199.38.164.55,443
151.101.0.84,443
104.16.65.157,443
52.84.145.176,443
192.168.10.16,42244
192.168.10.16,60542
192.168.10.16,59918
169.54.129.5,80
74.121.142.57,443
199.233.57.18,443
192.168.10.16,35766
192.168.10.16,36440
50.17.232.169,443
52.6.25.230,80
54.209.219.138,443
52.7.32.18,80
192.168.10.50,37521
192.168.10.8,49201
34.200.154.97,443
192.168.10.16,49406
192.168.10.16,50206
192.168.10.16,40736
52.0.244.10,443
38.126.130.202,443
159.127.42.137,443
52.84.143.13,80
159.127.41.169,443
52.203.95.194,80
54.210.7.142,443
169.60.66.38,443
208.185.50.90,443
192.168.10.16,48266
52.86.63.221,443
23.208.171.66,443
107.20.211.51,443
192.168.10.16,39116
192.168.10.16,49094
192.168.10.16,52710
192.168.10.16,54192
207.244.66.112,443
192.168.10.16,42190
52.203.233.2,443
52.73.123.67,80
192.168.10.16,46732
129.146.13.96,80
52.5.69.164,443
52.35.43.63,443
192.168.10.16,53298
192.168.10.16,57062
192.168.10.16,49476
192.168.10.16,39454
54.86.169.249,443
142.0.197.156,443
192.168.10.16,50440
50.16.200.73,443
192.168.10.16,51050
192.168.10.16,51048
192.168.10.16,53338
192.168.10.16,57670
192.168.10.51,54131
68.67.178.109,443
54.80.25.161,443
204.11.109.68,443
52.201.73.12,443
192.168.10.16,48142
192.168.10.16,33720
192.168.10.16,35176
192.168.10.16,48730
128.30.52.100,443
192.168.10.8,49235
54.175.224.18,443
54.192.37.157,443
206.126.112.150,443
52.36.90.35,443
192.168.10.8,49240
192.168.10.16,50928
192.168.10.16,54228
192.168.10.8,49241
192.168.10.8,49207
157.240.0.35,443
192.168.10.8,49243
172.217.10.142,443
192.168.10.8,49247
199.59.150.46,443
192.168.10.8,49250
72.21.91.70,443
192.168.10.8,49256
192.168.10.8,49254
192.168.10.8,49255
192.168.10.8,49252
192.168.10.8,49257
37.59.32.200,443
192.168.10.8,49258
192.168.10.8,49259
52.7.63.101,443
54.243.165.200,443
38.72.130.155,443
192.168.10.16,35162
192.168.10.16,55762
192.168.10.16,42192
192.168.10.16,35100
23.61.164.33,443
54.86.173.223,443
52.54.253.202,443
192.168.10.16,60932
192.168.10.16,33102
103.57.226.101,443
192.168.10.8,49229
5.150.170.4,443
52.45.111.64,443
34.193.128.53,443
192.168.10.16,56288
192.168.10.16,37240
192.168.10.16,42460
192.168.10.8,49225
192.168.10.16,47130
192.168.10.16,59960
192.168.10.8,49226
34.224.148.80,443
192.168.10.16,59984
192.155.97.155,443
192.168.10.16,35718
98.139.225.43,443
216.52.31.49,443
209.15.36.23,443
50.17.190.30,443
50.18.61.120,443
52.8.84.227,443
104.97.67.190,443
192.168.10.16,37920
192.168.10.16,60188
192.168.10.16,48450
192.168.10.50,52556
52.84.145.125,443
93.184.216.172,443
192.168.10.8,49248
129.146.14.97,443
54.192.37.39,443
52.206.38.221,443
23.21.126.194,443
192.168.10.16,33038
192.168.10.16,57984
192.168.10.16,45380
192.168.10.16,50188
209.15.36.31,443
198.51.152.184,443
52.42.178.188,443
52.200.141.101,443
192.168.10.16,36000
192.168.10.16,57160
192.168.10.16,39338
63.251.210.247,443
192.168.10.51,38099
104.107.0.190,443
23.194.181.242,443
192.168.10.16,44888
192.168.10.16,40586
192.168.10.16,36972
192.168.10.16,45726
192.168.10.8,49264
192.168.10.8,49265
91.216.195.218,443
52.26.121.92,443
68.67.178.111,443
52.43.9.103,443
192.168.10.8,49261
72.21.91.113,443
192.168.10.51,39332
173.241.242.143,443
128.30.52.21,443
74.119.118.100,443
192.168.10.25,49199
104.88.48.213,443
74.125.192.156,443
192.168.10.25,49204
54.192.39.235,443
192.168.10.9,1692
198.232.125.123,443
192.168.10.9,1689
23.208.162.98,80
152.195.32.39,80
104.88.48.213,80
172.104.98.120,443
139.162.9.91,443
139.162.62.56,443
139.162.11.86,443
192.168.10.51,38103
192.168.10.9,1767
165.254.114.9,80
151.101.130.2,80
151.101.46.49,80
112.121.107.20,443
172.217.11.2,80
93.184.216.180,80
125.227.128.31,80
118.163.124.247,80
208.185.50.80,443
192.168.10.14,49881
192.168.10.14,49880
172.104.46.66,443
192.168.10.9,1744
192.168.10.9,1737
192.168.10.9,1735
192.168.10.9,1746
151.101.1.108,80
192.168.10.14,49887
23.194.141.70,80
104.20.15.243,443
192.168.10.14,49916
192.168.10.14,49917
192.168.10.14,49928
192.168.10.14,49936
192.168.10.14,49951
192.168.10.5,49280
75.98.70.160,80
185.86.138.32,80
104.46.101.59,80
192.168.10.14,49959
23.21.135.2,443
216.200.232.223,443
202.221.6.246,443
52.70.78.204,443
63.251.28.140,80
54.173.10.244,443
50.17.234.240,443
23.21.118.143,443
52.55.139.128,443
54.243.171.199,443
74.125.192.155,443
192.168.10.5,49300
192.168.10.5,49299
216.200.232.216,80
52.84.145.62,443
192.168.10.5,49312
52.87.3.71,443
52.73.204.116,443
23.217.48.137,443
192.168.10.5,49275
54.88.233.215,443
192.168.10.5,49340
