s.Source_IP,s.Source_Port,l.Label_Name,r.count
172.16.0.1,59548,FTP-Patator,4
172.16.0.1,59552,FTP-Patator,4
172.16.0.1,59546,FTP-Patator,4
172.16.0.1,59540,FTP-Patator,4
172.16.0.1,59538,FTP-Patator,4
172.16.0.1,59536,FTP-Patator,4
172.16.0.1,59534,FTP-Patator,4
172.16.0.1,59532,FTP-Patator,4
172.16.0.1,59528,FTP-Patator,4
172.16.0.1,59526,FTP-Patator,4
172.16.0.1,59530,FTP-Patator,4
172.16.0.1,59524,FTP-Patator,4
172.16.0.1,59522,FTP-Patator,4
172.16.0.1,59518,FTP-Patator,4
172.16.0.1,59520,FTP-Patator,4
172.16.0.1,59516,FTP-Patator,4
172.16.0.1,59514,FTP-Patator,4
172.16.0.1,59508,FTP-Patator,4
172.16.0.1,59506,FTP-Patator,4
172.16.0.1,59512,FTP-Patator,4
172.16.0.1,59510,FTP-Patator,4
172.16.0.1,59502,FTP-Patator,4
172.16.0.1,59504,FTP-Patator,4
172.16.0.1,59500,FTP-Patator,4
172.16.0.1,59498,FTP-Patator,4
172.16.0.1,59494,FTP-Patator,4
172.16.0.1,59496,FTP-Patator,4
172.16.0.1,59486,FTP-Patator,4
172.16.0.1,59488,FTP-Patator,4
172.16.0.1,59492,FTP-Patator,4
172.16.0.1,59490,FTP-Patator,4
172.16.0.1,59482,FTP-Patator,4
172.16.0.1,59484,FTP-Patator,4
172.16.0.1,59478,FTP-Patator,4
172.16.0.1,59480,FTP-Patator,4
172.16.0.1,59474,FTP-Patator,4
172.16.0.1,59476,FTP-Patator,4
172.16.0.1,59468,FTP-Patator,4
172.16.0.1,59470,FTP-Patator,4
172.16.0.1,59472,FTP-Patator,4
172.16.0.1,59464,FTP-Patator,4
172.16.0.1,59466,FTP-Patator,4
172.16.0.1,59458,FTP-Patator,4
172.16.0.1,59460,FTP-Patator,4
172.16.0.1,59462,FTP-Patator,4
172.16.0.1,59454,FTP-Patator,4
172.16.0.1,59456,FTP-Patator,4
172.16.0.1,59452,FTP-Patator,4
172.16.0.1,59450,FTP-Patator,4
172.16.0.1,59448,FTP-Patator,4
172.16.0.1,59446,FTP-Patator,4
172.16.0.1,59438,FTP-Patator,4
172.16.0.1,59440,FTP-Patator,4
172.16.0.1,59442,FTP-Patator,4
172.16.0.1,59444,FTP-Patator,4
172.16.0.1,59434,FTP-Patator,4
172.16.0.1,59436,FTP-Patator,4
172.16.0.1,59430,FTP-Patator,4
172.16.0.1,59428,FTP-Patator,4
172.16.0.1,59432,FTP-Patator,4
172.16.0.1,59426,FTP-Patator,4
172.16.0.1,59420,FTP-Patator,4
172.16.0.1,59418,FTP-Patator,4
172.16.0.1,59422,FTP-Patator,4
172.16.0.1,59424,FTP-Patator,4
172.16.0.1,59414,FTP-Patator,4
172.16.0.1,59416,FTP-Patator,4
172.16.0.1,59410,FTP-Patator,4
172.16.0.1,59408,FTP-Patator,4
172.16.0.1,59412,FTP-Patator,4
172.16.0.1,59398,FTP-Patator,4
172.16.0.1,59400,FTP-Patator,4
172.16.0.1,59404,FTP-Patator,4
172.16.0.1,59402,FTP-Patator,4
172.16.0.1,59406,FTP-Patator,4
172.16.0.1,59394,FTP-Patator,4
172.16.0.1,59396,FTP-Patator,4
172.16.0.1,59392,FTP-Patator,4
172.16.0.1,59388,FTP-Patator,4
172.16.0.1,59390,FTP-Patator,4
172.16.0.1,59378,FTP-Patator,4
172.16.0.1,59380,FTP-Patator,4
172.16.0.1,59382,FTP-Patator,4
172.16.0.1,59384,FTP-Patator,4
172.16.0.1,59386,FTP-Patator,4
172.16.0.1,59376,FTP-Patator,4
172.16.0.1,59374,FTP-Patator,4
172.16.0.1,59370,FTP-Patator,4
172.16.0.1,59368,FTP-Patator,4
172.16.0.1,59372,FTP-Patator,4
172.16.0.1,59366,FTP-Patator,4
172.16.0.1,59360,FTP-Patator,4
172.16.0.1,59358,FTP-Patator,4
172.16.0.1,59362,FTP-Patator,4
172.16.0.1,59364,FTP-Patator,4
172.16.0.1,59354,FTP-Patator,4
172.16.0.1,59356,FTP-Patator,4
172.16.0.1,59350,FTP-Patator,4
172.16.0.1,59348,FTP-Patator,4
172.16.0.1,59352,FTP-Patator,4
172.16.0.1,59338,FTP-Patator,4
172.16.0.1,59340,FTP-Patator,4
172.16.0.1,59342,FTP-Patator,4
172.16.0.1,59344,FTP-Patator,4
172.16.0.1,59346,FTP-Patator,4
172.16.0.1,59334,FTP-Patator,4
172.16.0.1,59336,FTP-Patator,4
172.16.0.1,59330,FTP-Patator,4
172.16.0.1,59328,FTP-Patator,4
172.16.0.1,59332,FTP-Patator,4
172.16.0.1,59318,FTP-Patator,4
172.16.0.1,59320,FTP-Patator,4
172.16.0.1,59322,FTP-Patator,4
172.16.0.1,59324,FTP-Patator,4
172.16.0.1,59326,FTP-Patator,4
172.16.0.1,59314,FTP-Patator,4
172.16.0.1,59316,FTP-Patator,4
172.16.0.1,59308,FTP-Patator,4
172.16.0.1,59310,FTP-Patator,4
172.16.0.1,59312,FTP-Patator,4
172.16.0.1,59300,FTP-Patator,4
172.16.0.1,59298,FTP-Patator,4
172.16.0.1,59306,FTP-Patator,4
172.16.0.1,59304,FTP-Patator,4
172.16.0.1,59302,FTP-Patator,4
172.16.0.1,59294,FTP-Patator,4
172.16.0.1,59296,FTP-Patator,4
172.16.0.1,59290,FTP-Patator,4
172.16.0.1,59288,FTP-Patator,4
172.16.0.1,59292,FTP-Patator,4
172.16.0.1,59274,FTP-Patator,4
172.16.0.1,59276,FTP-Patator,4
172.16.0.1,59282,FTP-Patator,4
172.16.0.1,59278,FTP-Patator,4
172.16.0.1,59280,FTP-Patator,4
172.16.0.1,59272,FTP-Patator,4
172.16.0.1,59270,FTP-Patator,4
172.16.0.1,59266,FTP-Patator,4
172.16.0.1,59264,FTP-Patator,4
172.16.0.1,59268,FTP-Patator,4
172.16.0.1,59258,FTP-Patator,4
172.16.0.1,59260,FTP-Patator,4
172.16.0.1,59262,FTP-Patator,4
172.16.0.1,59254,FTP-Patator,4
172.16.0.1,59256,FTP-Patator,4
172.16.0.1,59252,FTP-Patator,4
172.16.0.1,59250,FTP-Patator,4
172.16.0.1,59246,FTP-Patator,4
172.16.0.1,59244,FTP-Patator,4
172.16.0.1,59248,FTP-Patator,4
172.16.0.1,59238,FTP-Patator,4
172.16.0.1,59240,FTP-Patator,4
172.16.0.1,59234,FTP-Patator,4
172.16.0.1,59242,FTP-Patator,4
172.16.0.1,59236,FTP-Patator,4
172.16.0.1,59232,FTP-Patator,4
172.16.0.1,59230,FTP-Patator,4
172.16.0.1,59224,FTP-Patator,4
172.16.0.1,59226,FTP-Patator,4
172.16.0.1,59228,FTP-Patator,4
172.16.0.1,59214,FTP-Patator,4
172.16.0.1,59216,FTP-Patator,4
172.16.0.1,59220,FTP-Patator,4
172.16.0.1,59218,FTP-Patator,4
172.16.0.1,59222,FTP-Patator,4
172.16.0.1,59210,FTP-Patator,4
172.16.0.1,59212,FTP-Patator,4
172.16.0.1,59208,FTP-Patator,4
172.16.0.1,59204,FTP-Patator,4
172.16.0.1,59206,FTP-Patator,4
172.16.0.1,59196,FTP-Patator,4
172.16.0.1,59198,FTP-Patator,4
172.16.0.1,59202,FTP-Patator,4
172.16.0.1,59200,FTP-Patator,4
172.16.0.1,59194,FTP-Patator,4
172.16.0.1,59192,FTP-Patator,4
172.16.0.1,59190,FTP-Patator,4
172.16.0.1,59184,FTP-Patator,4
172.16.0.1,59186,FTP-Patator,4
172.16.0.1,59188,FTP-Patator,4
172.16.0.1,59182,FTP-Patator,4
172.16.0.1,59174,FTP-Patator,4
172.16.0.1,59176,FTP-Patator,4
172.16.0.1,59178,FTP-Patator,4
172.16.0.1,59180,FTP-Patator,4
172.16.0.1,59170,FTP-Patator,4
172.16.0.1,59172,FTP-Patator,4
172.16.0.1,59164,FTP-Patator,4
172.16.0.1,59166,FTP-Patator,4
172.16.0.1,59168,FTP-Patator,4
172.16.0.1,59154,FTP-Patator,4
172.16.0.1,59156,FTP-Patator,4
172.16.0.1,59162,FTP-Patator,4
172.16.0.1,59160,FTP-Patator,4
172.16.0.1,59158,FTP-Patator,4
172.16.0.1,59150,FTP-Patator,4
172.16.0.1,59152,FTP-Patator,4
172.16.0.1,59148,FTP-Patator,4
172.16.0.1,59146,FTP-Patator,4
172.16.0.1,59144,FTP-Patator,4
172.16.0.1,59138,FTP-Patator,4
172.16.0.1,59140,FTP-Patator,4
172.16.0.1,59142,FTP-Patator,4
172.16.0.1,59136,FTP-Patator,4
172.16.0.1,59134,FTP-Patator,4
172.16.0.1,59130,FTP-Patator,4
172.16.0.1,59132,FTP-Patator,4
172.16.0.1,59128,FTP-Patator,4
172.16.0.1,59124,FTP-Patator,4
172.16.0.1,59126,FTP-Patator,4
172.16.0.1,59116,FTP-Patator,4
172.16.0.1,59114,FTP-Patator,4
172.16.0.1,59118,FTP-Patator,4
172.16.0.1,59120,FTP-Patator,4
172.16.0.1,59122,FTP-Patator,4
172.16.0.1,59112,FTP-Patator,4
172.16.0.1,59110,FTP-Patator,4
172.16.0.1,59104,FTP-Patator,4
172.16.0.1,59108,FTP-Patator,4
172.16.0.1,59106,FTP-Patator,4
172.16.0.1,59096,FTP-Patator,4
172.16.0.1,59098,FTP-Patator,4
172.16.0.1,59102,FTP-Patator,4
172.16.0.1,59100,FTP-Patator,4
172.16.0.1,59094,FTP-Patator,4
172.16.0.1,59092,FTP-Patator,4
172.16.0.1,59090,FTP-Patator,4
172.16.0.1,59084,FTP-Patator,4
172.16.0.1,59088,FTP-Patator,4
172.16.0.1,59086,FTP-Patator,4
172.16.0.1,59082,FTP-Patator,4
172.16.0.1,59074,FTP-Patator,4
172.16.0.1,59076,FTP-Patator,4
172.16.0.1,59078,FTP-Patator,4
172.16.0.1,59080,FTP-Patator,4
172.16.0.1,59070,FTP-Patator,4
172.16.0.1,59072,FTP-Patator,4
172.16.0.1,59062,FTP-Patator,4
172.16.0.1,59064,FTP-Patator,4
172.16.0.1,59066,FTP-Patator,4
172.16.0.1,59052,FTP-Patator,4
172.16.0.1,59056,FTP-Patator,4
172.16.0.1,59054,FTP-Patator,4
172.16.0.1,59058,FTP-Patator,4
172.16.0.1,59060,FTP-Patator,4
172.16.0.1,59048,FTP-Patator,4
172.16.0.1,59050,FTP-Patator,4
172.16.0.1,59044,FTP-Patator,4
172.16.0.1,59042,FTP-Patator,4
172.16.0.1,59046,FTP-Patator,4
172.16.0.1,59038,FTP-Patator,4
172.16.0.1,59040,FTP-Patator,4
172.16.0.1,59036,FTP-Patator,4
172.16.0.1,59032,FTP-Patator,4
172.16.0.1,59034,FTP-Patator,4
172.16.0.1,59028,FTP-Patator,4
172.16.0.1,59030,FTP-Patator,4
172.16.0.1,59022,FTP-Patator,4
172.16.0.1,59024,FTP-Patator,4
172.16.0.1,59026,FTP-Patator,4
172.16.0.1,59020,FTP-Patator,4
172.16.0.1,59018,FTP-Patator,4
172.16.0.1,59016,FTP-Patator,4
172.16.0.1,59012,FTP-Patator,4
172.16.0.1,59014,FTP-Patator,4
172.16.0.1,59008,FTP-Patator,4
172.16.0.1,59010,FTP-Patator,4
172.16.0.1,59002,FTP-Patator,4
172.16.0.1,59006,FTP-Patator,4
172.16.0.1,59004,FTP-Patator,4
172.16.0.1,58998,FTP-Patator,4
172.16.0.1,58996,FTP-Patator,4
172.16.0.1,58994,FTP-Patator,4
172.16.0.1,59000,FTP-Patator,4
172.16.0.1,58992,FTP-Patator,4
172.16.0.1,58988,FTP-Patator,4
172.16.0.1,58990,FTP-Patator,4
172.16.0.1,58982,FTP-Patator,4
172.16.0.1,58984,FTP-Patator,4
172.16.0.1,58986,FTP-Patator,4
172.16.0.1,58976,FTP-Patator,4
172.16.0.1,58978,FTP-Patator,4
172.16.0.1,58980,FTP-Patator,4
172.16.0.1,58972,FTP-Patator,4
172.16.0.1,58974,FTP-Patator,4
172.16.0.1,58968,FTP-Patator,4
172.16.0.1,58970,FTP-Patator,4
172.16.0.1,58962,FTP-Patator,4
172.16.0.1,58966,FTP-Patator,4
172.16.0.1,58964,FTP-Patator,4
172.16.0.1,58952,FTP-Patator,4
172.16.0.1,58954,FTP-Patator,4
172.16.0.1,58956,FTP-Patator,4
172.16.0.1,58958,FTP-Patator,4
172.16.0.1,58960,FTP-Patator,4
172.16.0.1,58948,FTP-Patator,4
172.16.0.1,58950,FTP-Patator,4
172.16.0.1,58944,FTP-Patator,4
172.16.0.1,58946,FTP-Patator,4
172.16.0.1,58942,FTP-Patator,4
172.16.0.1,58940,FTP-Patator,4
172.16.0.1,58934,FTP-Patator,4
172.16.0.1,58932,FTP-Patator,4
172.16.0.1,58936,FTP-Patator,4
172.16.0.1,58938,FTP-Patator,4
172.16.0.1,58930,FTP-Patator,4
172.16.0.1,58928,FTP-Patator,4
172.16.0.1,58922,FTP-Patator,4
172.16.0.1,58924,FTP-Patator,4
172.16.0.1,58926,FTP-Patator,4
172.16.0.1,58916,FTP-Patator,4
172.16.0.1,58918,FTP-Patator,4
172.16.0.1,58920,FTP-Patator,4
172.16.0.1,58914,FTP-Patator,4
172.16.0.1,58912,FTP-Patator,4
172.16.0.1,58910,FTP-Patator,4
172.16.0.1,58908,FTP-Patator,4
172.16.0.1,58906,FTP-Patator,4
172.16.0.1,58904,FTP-Patator,4
172.16.0.1,58902,FTP-Patator,4
172.16.0.1,58894,FTP-Patator,4
172.16.0.1,58896,FTP-Patator,4
172.16.0.1,58898,FTP-Patator,4
172.16.0.1,58900,FTP-Patator,4
172.16.0.1,58892,FTP-Patator,4
172.16.0.1,58890,FTP-Patator,4
172.16.0.1,58888,FTP-Patator,4
172.16.0.1,58886,FTP-Patator,4
172.16.0.1,58884,FTP-Patator,4
172.16.0.1,58882,FTP-Patator,4
172.16.0.1,58874,FTP-Patator,4
172.16.0.1,58876,FTP-Patator,4
172.16.0.1,58878,FTP-Patator,4
172.16.0.1,58880,FTP-Patator,4
172.16.0.1,58872,FTP-Patator,4
172.16.0.1,58870,FTP-Patator,4
172.16.0.1,58868,FTP-Patator,4
172.16.0.1,58866,FTP-Patator,4
172.16.0.1,58864,FTP-Patator,4
172.16.0.1,58862,FTP-Patator,4
172.16.0.1,58856,FTP-Patator,4
172.16.0.1,58854,FTP-Patator,4
172.16.0.1,58858,FTP-Patator,4
172.16.0.1,58860,FTP-Patator,4
172.16.0.1,58852,FTP-Patator,4
172.16.0.1,58850,FTP-Patator,4
172.16.0.1,58848,FTP-Patator,4
172.16.0.1,58846,FTP-Patator,4
172.16.0.1,58842,FTP-Patator,4
172.16.0.1,58844,FTP-Patator,4
172.16.0.1,58836,FTP-Patator,4
172.16.0.1,58838,FTP-Patator,4
172.16.0.1,58840,FTP-Patator,4
172.16.0.1,58834,FTP-Patator,4
172.16.0.1,58832,FTP-Patator,4
172.16.0.1,58828,FTP-Patator,4
172.16.0.1,58830,FTP-Patator,4
172.16.0.1,58826,FTP-Patator,4
172.16.0.1,58822,FTP-Patator,4
172.16.0.1,58824,FTP-Patator,4
172.16.0.1,58814,FTP-Patator,4
172.16.0.1,58816,FTP-Patator,4
172.16.0.1,58820,FTP-Patator,4
172.16.0.1,58818,FTP-Patator,4
172.16.0.1,58812,FTP-Patator,4
172.16.0.1,58808,FTP-Patator,4
